product_id	product_handle	product_title	variant_id	variant_title	current_cad_price	approved_cad_price	current_usd_price	approved_usd_price	approval_status
prod_01KVMY07ACZKKM7Z9HZECBJDR4	audit-test-product-mqnoqwxr36fh-mqnoqwy0	Audit Test Product mqnoqwxr36fh	variant_01KVMY07B80Q6XZE981QY1BDRE	Standard	1999				pending
prod_01KVMY1SDVZGHHZD071ADJX2CB	audit-test-product-mqnos0izqqe5-mqnos0ja	Audit Test Product mqnos0izqqe5	variant_01KVMY1SET7G8MHE75B63NN560	Standard	1999				pending
prod_01KVSFB8WPTXN2GCYBZ5XH4RH6	beef-steak	Beef Steak	variant_01KVSFB8X9WW94FBJDVM4J4VFH	Standard	2299				pending
prod_01KW1F8RMWZKTTK52HN4FGZECF	browser-test-e-book	Browser Test E-Book	variant_01KW1F8RSX1ZC03K0F9PFNAWVS	Default variant	14.99		19.99		pending
prod_01KW1EJCF2XZQGH3DDYWG8EBQW	cad-only-1782460264907-mqumtiot	CAD-Only 1782460264907	variant_01KW1EJCG4JQN437Y6ZM7N3TCH	Digital Download	950				pending
prod_01KW1EP9QW8QGBDZZ9Y30DBVSZ	cad-only-1782460393194-mqumw9o9	CAD-Only 1782460393194	variant_01KW1EP9RWPPB3SB8E8GNZMN30	Digital Download	950				pending
prod_01KW1EYPBAY3JCH8A9K6YHBQJP	cad-only-1782460668244-mqun25wm	CAD-Only 1782460668244	variant_01KW1EYPC56TGZDNJVS8N2DZ8A	Digital Download	950				pending
prod_01KVSFB87RKDRSY8HR988M0Z9K	cheddar-cheese	Cheddar Cheese	variant_01KVSFB88CG0FGKBQTG2KNBZE8	Standard	799				pending
prod_01KVSFB8QBJ9M95V6E0DFZWHBV	chicken-breast	Chicken Breast	variant_01KVSFB8R0M148Z5PHK7597K2E	Standard	1299				pending
prod_01KVSFB8YFCM952E63E8F4955Z	chicken-sausages	Chicken Sausages	variant_01KVSFB8Z51WWP1W03QSDBY8N3	Standard	999				pending
prod_01KXJNH57CMPRBEVGSAMB30EMF	chocolate-mrly26sk	chocolate	variant_01KXJNH5ASR8XNZ9QSW29B8SJ7	Standard	2200	22		16.99	approved
prod_01KWM9YN6TNEY78DPM0JAQ5ZY7	codex-digital-upload-verification-mr53ic40	Codex Digital Upload Verification	variant_01KWM9YN9Z155T8HNJQ96YBQHZ	Digital Download					pending
prod_01KWMAM00WTB7B5P6AJ799RYTC	codex-digital-upload-verification-mr53xbma	Codex Digital Upload Verification	variant_01KWMAM042JP42Y1AX94QRR9V7	Digital Download	2000				pending
prod_01KVSFB9B2AF16KR0X5JE0C3WV	crab-meat	Crab Meat	variant_01KVSFB9C5W5C0347WGB5RNS4Y	Standard	2199				pending
prod_01KVSFB8GJWSH1JMXG0XPG2F6N	croissant	Croissant	variant_01KVSFB8HDHXQHA4PKSS9PQ89A	Standard	349				pending
prod_01KWRHFTGWT5PPPV6PDDKGM3AJ	currency-test-digital-book-1783235078447-mr7g4gsz	Currency Test Digital Book 1783235078447	variant_01KWRHFTJZB5XNQH3E5MMDR8DM	Default	7800		1000		pending
prod_01KWRHGVF51RH6HYB0H5DJ69PJ	currency-test-digital-book-1783235112181-mr7g56u6	Currency Test Digital Book 1783235112181	variant_01KWRHGVHFHT2S9M8WQPNFP706	Default	7800		1000		pending
prod_01KVN0BQ3GQD64A562FYTW3E62	debug-mqnq7xl0f0gw-mqnq7xmu	Debug mqnq7xl0f0gw	variant_01KVN0BQDBC897PZTFRQ2P6HDP	Standard	1999				pending
prod_01KWW0R7M8TYHQJMQTWRQ6FXPZ	decimal-oil-20260706205906-mr9dl20k	DECIMAL OIL 20260706205906	variant_01KWW0R7NT0T4WR9WM88ATBPTR	Standard	599				pending
prod_01KWHRE9CY4M3RS6QETG5HFW6K	e-book-mr3ome75	e book	variant_01KWHRE9KW4BY4VGZVJ9RYDR04	Digital Download					pending
prod_01KW1E8JX774PPRMQ88VN5GR9Q	e-book-gardening-1782459943821-mqummmxt	E-Book Gardening 1782459943821	variant_01KW1E8K0NT9NVRYR5EDKC77CM	Digital Download	1999		2499		pending
prod_01KW1ECW8TGFYJMNMV1NDF1RT7	e-book-gardening-1782460084480-mqumpnh2	E-Book Gardening 1782460084480	variant_01KW1ECW9SKM0VPQBFPSXBGKCS	Digital Download	1999		2499		pending
prod_01KW1EJC8ZKS0WR0KN883CGQA8	e-book-gardening-1782460264701-mqumtijf	E-Book Gardening 1782460264701	variant_01KW1EJC9VS51Y9ZJZADMD4YCR	Digital Download	1999		2499		pending
prod_01KW1EP9GVF1VAK1ZQ44HHR4W8	e-book-gardening-1782460392951-mqumw9hu	E-Book Gardening 1782460392951	variant_01KW1EP9JSQPZCPCQ3PZK1A1F6	Digital Download	1999		2499		pending
prod_01KW1EYP5CCFDDB2Z81R8HQ3VE	e-book-gardening-1782460668053-mqun25rc	E-Book Gardening 1782460668053	variant_01KW1EYP6Y9X6CXHN5FAEDYKZ5	Digital Download	1999		2499		pending
prod_01KWPX4HF4YXN4SF1ANB8AJNHD	e-book-gardening-1783180182970-mr6jfv15	E-Book Gardening 1783180182970	variant_01KWPX4HJTNC65C6YKW8PB33HC	Digital Download	1999		2499		pending
prod_01KWQ05SK0PDA0T4GNHWA0A3MQ	e2e-digital-book-1783183369763-mr6lc5zt	E2E Digital Book 1783183369763	variant_01KWQ05SNWQJ2V5Y0RGBTDWR2A	Digital Download					pending
prod_01KWQ06JCFSANEP04YXDND06BW	e2e-digital-book-1783183395158-mr6lcpl2	E2E Digital Book 1783183395158	variant_01KWQ06JEV2WDJ465Q4G6H70HX	Digital Download					pending
prod_01KWQ08JHXBV4P7PMB7SXVDXAZ	e2e-digital-book-1783183460882-mr6le4af	E2E Digital Book 1783183460882	variant_01KWQ08JKGSYB0K690PSTC3TN3	Digital Download	999				pending
prod_01KWQ0DK5AXAQ4T3FBW1HF6XSM	e2e-digital-book-1783183625341-mr6lhn6l	E2E Digital Book 1783183625341	variant_01KWQ0DK6K6H6SFK0140PP1WEJ	Digital Download	999				pending
prod_01KWQ0EW4FSVV6DB8ZXQ0MP0X4	e2e-digital-book-1783183667294-mr6lijk4	E2E Digital Book 1783183667294	variant_01KWQ0EW6QHKYG9VJGED0AWW6E	Digital Download	999				pending
prod_01KWQ0FGWAANHBB3HHJT0K5MYK	e2e-digital-book-1783183688543-mr6lizyb	E2E Digital Book 1783183688543	variant_01KWQ0FGY17EH6H97SZMQST22V	Digital Download	999				pending
prod_01KWQ19X3DAJNED5GYSJFW1Y2M	e2e-digital-book-1783184553026-mr6m1izr	E2E Digital Book 1783184553026	variant_01KWQ19X5RGXHQ5HA22TEG3H9Y	Digital Download	999				pending
prod_01KWQ1BJ50SDZETZMF4PD7QPV1	e2e-digital-book-1783184607341-mr6m2owp	E2E Digital Book 1783184607341	variant_01KWQ1BJ77T14ZJRW8ETNH7VC4	Digital Download	999				pending
prod_01KWQ1CWBRAVZFZ759ZEBJ6W8K	e2e-digital-book-1783184650573-mr6m3m9e	E2E Digital Book 1783184650573	variant_01KWQ1CWDAMKYPYS8SJ5X8K4PT	Digital Download	999				pending
prod_01KWQ1EK1W6P2NWMMY6JHBD1ZV	e2e-digital-book-1783184706575-mr6m4th1	E2E Digital Book 1783184706575	variant_01KWQ1EK3EB6FCTZK7SM8GXJPE	Digital Download	999				pending
prod_01KWQ204DYY6BNP9GCKJBYH4WN	e2e-digital-book-1783185281422-mr6mh512	E2E Digital Book 1783185281422	variant_01KWQ204H8V6V6C1QEVSEA0YFD	Digital Download	99900				pending
prod_01KWQ21E19635QBYB02ZAF884S	e2e-digital-book-1783185324049-mr6mi1wl	E2E Digital Book 1783185324049	variant_01KWQ21E1ZPCTH0HKKP6VFG5FZ	Digital Download	999				pending
prod_01KWQ3W56M656QFHSAJVVAFQ7S	e2e-digital-book-1783187248294-mr6nnaoe	E2E Digital Book 1783187248294	variant_01KWQ3W58XT816QN4YCJ6PF06K	Digital Download	7800				pending
prod_01KW1E8K65ZETX0GGC3HFR1PFA	empty-file-1782459944121-mqummn5u	Empty File 1782459944121	variant_01KW1E8K6N09Y4GB3RC81NES8M	Digital Download			500		pending
prod_01KW1ECWD7YBQVQJKN1Q2CZY9T	empty-file-1782460084625-mqumpnkw	Empty File 1782460084625	variant_01KW1ECWDX1HNB8T3K58SG9C5W	Digital Download			500		pending
prod_01KW1EJCNM7TK49E7TKA60VTHC	empty-file-1782460265127-mqumtiuo	Empty File 1782460265127	variant_01KW1EJCP1SXBJ4K71R3050VRH	Digital Download			500		pending
prod_01KW1EP9ZQCAGS8TN035AZGK7Q	empty-file-1782460393451-mqumw9v8	Empty File 1782460393451	variant_01KW1EPA048N2MR3Z95G0JE5C0	Digital Download			500		pending
prod_01KW1EYPH6720Z27HHRNM1GX73	empty-file-1782460668442-mqun261v	Empty File 1782460668442	variant_01KW1EYPHJ3V67JXKEG4G2N6V6	Digital Download			500		pending
prod_01KVN02PJ0TEWPZ721K4BC6XT7	final-1782042414-mqnq1lpn	Final 1782042414	variant_01KVN02PMQNA2VAB5Z7RZ4HW9X	Standard	1999				pending
prod_01KWQ0QFX7S61WFT27SVRE6RMK	first-e-book-mr6lolgc	First E Book	variant_01KWQ0QFYM01DK8EHXM9ADFW3B	Digital Download	8898				pending
prod_01KWPXVTWMG9C90F0WCQGWAPFT	first-product-mr6jw808	first product	variant_01KWPXVTYE8QNG3R2AMFXZ9BQ0	Digital Download	8900				pending
prod_01KWPYVVN6WMB545K1QD48G368	first-product-mr6kipp4	first product	variant_01KWPYVVQ4P3AQX6MV1D529JFC	Digital Download	5897				pending
prod_01KVSFB7BAX6R5GFXKKCC4CYHX	fresh-bananas	Fresh Bananas	variant_01KVSFB7CD3CVS9WN4SCVE9YXT	Standard	299				pending
prod_01KVSFB7NFW3HA28BEMYCHVFRJ	fresh-broccoli	Fresh Broccoli	variant_01KVSFB7PMVBDKJ5NHD9CQQ5NX	Standard	449				pending
prod_01KVSFB8A3QK5WZV03MTMEAHPD	fresh-butter	Fresh Butter	variant_01KVSFB8B6VM0SCQ8NFQZRC239	Standard	549				pending
prod_01KVSFB94BJ8CSBH3WSE47JY4N	fresh-prawns	Fresh Prawns	variant_01KVSFB95KV4BKPP4JT3WD2MRP	Standard	1699				pending
prod_01KVSFB85A4E8Z4E4F7ZX8E2SW	greek-yogurt	Greek Yogurt	variant_01KVSFB86BTEA7ZEZ2M01STJYG	Standard	599				pending
prod_01KVSFB7FQRQPT7HHHQTS0D9QA	green-grapes	Green Grapes	variant_01KVSFB7GDJ405F2JQJ8A68700	Standard	599				pending
prod_01KVSFB7REXCQRQ06W82C4610V	green-spinach	Green Spinach	variant_01KVSFB7SC8G5X8ZGN2TAPHTPG	Standard	499				pending
prod_01KWM7P1BTZPR2T6V6KN7DNAZ9	hacker-dock-mr523bze	hacker dock	variant_01KWM7P1ET83TD8E61VZAPA2C2	Digital Download					pending
prod_01KWJ0NRWG4CAMH6V1RF25FB3X	kdksks-mr3trg5b	kdksks	variant_01KWJ0NRYQB2W72NVMCCT49KGK	Digital Download	23395				pending
prod_01KWQ33JKCZM29X376W8YPMYX5	kmdcdlka-mr6n615p	kmdcdlka	variant_01KWQ33JNZJQKPXJQBG9YD9TA3	Digital Download	779400				pending
prod_01KVSFB8S2F4YXNV9BAKSNB9M2	lamb-chops	Lamb Chops	variant_01KVSFB8STSXDM303M3W7B1C6A	Standard	1899				pending
prod_01KVMCKDHHQQPJZ72BHN5A5ETD	lyuyhybuyhbb-mqndvup6	lyuyhybuyhbb	variant_01KVMCKDKFZJWW29S963TVY186	Digital Download	699		901		pending
prod_01KVMCN2V0YK5CRHYA4CH2CTR3	lyuyhybuyhbb-mqndx0t6	lyuyhybuyhbb	variant_01KVMCN2VRXEM77SFC9PQQKMQ3	Digital Download	699		901		pending
prod_01KWHT1K6NX18YED89NZPCEPD2	master-class-book-mr3pmfgr	master class book	variant_01KWHT1K91GCQTENK2204MYG41	Digital Download	999				pending
prod_01KWHSBEPFGTCBKNAQACQYZHJR	master-class-notes-mr3p6vni	master class notes	variant_01KWHSBERK2DJ0DNPQR3NYZ9BY	Digital Download	1700				pending
prod_01KWHZ0X6CHGKHYZH4Z1A6XHT8	master-class-of-chatgpt-mr3sqbi6	master class of chatgpt	variant_01KWHZ0X8N97ZVTCZBK0BGHJF8	Digital Download	900				pending
prod_01KWM8ZK4J5N85XC0FA72RSKV3	medusa-doc-mr52winr	medusa doc	variant_01KWM8ZK7M0N53K4XHBKP2BG5X	Digital Download					pending
prod_01KVJF9J4RJDP0QXZ4B09QGJ0S	shorts	Medusa Shorts	variant_01KVJF9J7WPJ0J6KXS78K8B4AX	L	10		15		pending
prod_01KVJF9J4RJDP0QXZ4B09QGJ0S	shorts	Medusa Shorts	variant_01KVJF9J7WQ2T5BPB02N3QYKBZ	M	10		15		pending
prod_01KVJF9J4RJDP0QXZ4B09QGJ0S	shorts	Medusa Shorts	variant_01KVJF9J7WMRTV8Z6YF9PXPMTB	S	10		15		pending
prod_01KVJF9J4RJDP0QXZ4B09QGJ0S	shorts	Medusa Shorts	variant_01KVJF9J7WFCB21E58J9FSE50Q	XL	10		15		pending
prod_01KVJF9J4R7XMZ1Z73SMTNT8KC	sweatpants	Medusa Sweatpants	variant_01KVJF9J7VRVF2N11E0J6K2ETS	L	10		15		pending
prod_01KVJF9J4R7XMZ1Z73SMTNT8KC	sweatpants	Medusa Sweatpants	variant_01KVJF9J7VCVRWX9QA6Y4Z7WNB	M	10		15		pending
prod_01KVJF9J4R7XMZ1Z73SMTNT8KC	sweatpants	Medusa Sweatpants	variant_01KVJF9J7VRDSRVXN2TPR5E5JS	S	10		15		pending
prod_01KVJF9J4R7XMZ1Z73SMTNT8KC	sweatpants	Medusa Sweatpants	variant_01KVJF9J7VBMFJWM99HTYEE3KX	XL	10		15		pending
prod_01KVJF9J4RKC61HMGV5BMRNXN3	sweatshirt	Medusa Sweatshirt	variant_01KVJF9J7TXJP70XZXEAQWVATX	L	10		15		pending
prod_01KVJF9J4RKC61HMGV5BMRNXN3	sweatshirt	Medusa Sweatshirt	variant_01KVJF9J7TH3XVZSS7EASJNP2S	M	10		15		pending
prod_01KVJF9J4RKC61HMGV5BMRNXN3	sweatshirt	Medusa Sweatshirt	variant_01KVJF9J7TBTE05S8FBCXNTTGD	S	10		15		pending
prod_01KVJF9J4RKC61HMGV5BMRNXN3	sweatshirt	Medusa Sweatshirt	variant_01KVJF9J7VH1FXQ845RECAFW8V	XL	10		15		pending
prod_01KVJF9J4RKQA6VSTE3T3YYAKX	t-shirt	Medusa T-Shirt	variant_01KVJF9J7S83CCMC5AAKBGVQNC	L / Black	10		15		pending
prod_01KVJF9J4RKQA6VSTE3T3YYAKX	t-shirt	Medusa T-Shirt	variant_01KVJF9J7S7ZQDN60WM8ACGRJF	L / White	10		15		pending
prod_01KVJF9J4RKQA6VSTE3T3YYAKX	t-shirt	Medusa T-Shirt	variant_01KVJF9J7SFPA1G7GAD3ZYPRM0	M / Black	10		15		pending
prod_01KVJF9J4RKQA6VSTE3T3YYAKX	t-shirt	Medusa T-Shirt	variant_01KVJF9J7SEH6FJ3VVX98B31M2	M / White	10		15		pending
prod_01KVJF9J4RKQA6VSTE3T3YYAKX	t-shirt	Medusa T-Shirt	variant_01KVJF9J7R77RDQYMEDJ0MF7TV	S / Black	10		15		pending
prod_01KVJF9J4RKQA6VSTE3T3YYAKX	t-shirt	Medusa T-Shirt	variant_01KVJF9J7S2NNS60SCPNBNK3YH	S / White	10		15		pending
prod_01KVJF9J4RKQA6VSTE3T3YYAKX	t-shirt	Medusa T-Shirt	variant_01KVJF9J7S66WB2FHYDA4WWVYK	XL / Black	10		15		pending
prod_01KVJF9J4RKQA6VSTE3T3YYAKX	t-shirt	Medusa T-Shirt	variant_01KVJF9J7TE542K4A96JQMWSDA	XL / White	10		15		pending
prod_01KWKX6X6KE1YKP1ZJDZ4BJP5J	most-imp-mr4vjyjx	most imp	variant_01KWKX6XG4V9J70MYG89BQFCCK	Digital Download					pending
prod_01KVSFB8M7AVMZ6888SSSYQE5K	muffins-pack	Muffins Pack	variant_01KVSFB8MVTVENGRRVN6V61TQN	Standard	899				pending
prod_01KWPGEG8JVGK9TJFMK9KAQNZP	new-test-mr6biosp	new test	variant_01KWPGEGD1VE1E8RCPSSZHGCCR	Digital Download	500				pending
prod_01KWQ48V3QXBHNKJ3WW92VXHPB	open-ebbbok-mr6nw7e2	open ebbbok	variant_01KWQ48V5KTFPFVGKB8H7PD2S4	Digital Download	8694				pending
prod_01KVSFB71XDNGFJN01RH3C2G1M	organic-apples	Organic Apples	variant_01KVSFB75GZJ4N0B9SY6BXDTZC	Standard	499	4.99		3.99	approved
prod_01KWMFJENJQ0CADDKAPZ142MZA	organic-book-mr570m1x	organic book	variant_01KWMFJES8MX8JS58Q6MB35Q1G	Digital Download	4995				pending
prod_01KVSFB7KH3MAADTC8FXDNB7K9	organic-carrots	Organic Carrots	variant_01KVSFB7M7DJ2NQP1MRFC161ZP	Standard	399				pending
prod_01KVSFB8NSZ67XN9G17BJJ1W38	organic-cookies	Organic Cookies	variant_01KVSFB8PAKFQGF5B8VM9DCSFJ	Standard	649				pending
prod_01KVSFB82HYD8N48WG7XQGKWBW	organic-milk	Organic Milk	variant_01KVSFB83K91ZD462YSQSFPK8C	Standard	649				pending
prod_01KWW11N9K4XYTK17K7DKTSBX0	organic-oil-mr9drod0	Organic OIL	variant_01KWW11NCJY9SGGGPJ5D7WB4FR	Standard	2500	25		18.99	approved
prod_01KWW0QKYEEXVQEKWXXME70BSX	organic-oil-20260706205845-mr9dkmgn	ORGANIC OIL 20260706205845	variant_01KWW0QM4SQPZ5RZKAFAFGETBZ	Standard	1000				pending
prod_01KVSFB7Z7ZARK3KPZCNNGCFN8	organic-potatoes	Organic Potatoes	variant_01KVSFB80MDTP8T8R6Z7GB0CQN	Standard	549				pending
prod_01KVSFB8CFN04MJA0CDQ8Y3QZX	paneer-block	Paneer Block	variant_01KVSFB8D6X5V3ZFD2N7NXRYY5	Standard	699				pending
prod_01KVSZH979HQY5NNJS0BCC8Y7Q	papaya-mqqhlb57	papaya	variant_01KVSZH9M19J7GWF1M8TV5D5ZZ	Standard	600				pending
prod_01KVSPT0255E9PQS0FJZ94MPSR	papaya-mqqc55q3	Papaya	variant_01KVSPT08VCN1E9D4CYYGQBG3Q	Standard	699				pending
prod_01KVSQ48867BV7ZNMYB7CFZX75	papaya-final-a90dd3-mqqccd0y	Papaya Final a90dd3	variant_01KVSQ48EZAJH0KY9XVS2ZZ7BA	Standard	799				pending
prod_01KVSQ9RMC9VY464EF61WVPZE2	papaya-link-1a8db7-mqqcg8cz	Papaya Link 1a8db7	variant_01KVSQ9RXKQWZBH7AK4VK7PTSV	Standard	899				pending
prod_01KVSQZ00MWS1S3T7FYJJC0VXK	papaya-link-array-b9f928-mqqcv56k	Papaya Link Array b9f928	variant_01KVSQZ04ZZ120JMVMPCQ0PYQJ	Standard	999				pending
prod_01KVSPZAPBTBRDSZHTRVCYXW6Z	papaya-pack-2015cd-mqqc8whq	Papaya Pack 2015cd	variant_01KVSPZAW0S335JX2KXGD7NEQJ	Large	899				pending
prod_01KVSPZAPBTBRDSZHTRVCYXW6Z	papaya-pack-2015cd-mqqc8whq	Papaya Pack 2015cd	variant_01KVSPZAVZKYRRNKJJXMB3VJH0	Small	499				pending
prod_01KVSR6H141CJWVP91R4T3TD8E	papaya-vendor-smoke-dc9962-mqqd0fm9	Papaya Vendor Smoke dc9962	variant_01KVSR6H59F57ED9M0GRE24BNJ	Standard	999				pending
prod_01KWQ57CSJQ1VBVF7BTTYSEDRY	physics-book-mr6ohnvo	physics book	variant_01KWQ57CVG1FJEREF9QRNT7T47	Digital Download	9000				pending
prod_01KVW0YM6H0HYPRV73MKDJZWDX	pineapple-mqrmfj25	Pineapple	variant_01KVW0YMR5Q4X2P1H9QVJ0W6XK	Standard	900				pending
prod_01KVW221QD90ZE1Y069Z8VB2J4	pineapple-mqrn4er9	Pineapple	variant_01KVW221YN1BGRD3G66J4KSJTQ	Standard	700				pending
prod_01KWRFJ6ZZ0GXXNJ2P4JCGT9T1	price-final-test-1783233059658-mr7ex71z	Price Final Test 1783233059658	variant_01KWRFJ73R0GTW4SYH780Y9VMY	Digital Download	7800				pending
prod_01KWRFJYDVH2E01NAXMZ1BC03X	price-final-test-1783233083614-mr7expka	Price Final Test 1783233083614	variant_01KWRFJYF9BDR9FPY1HPQ8MPHN	Digital Download	7800				pending
prod_01KWRFKBNRBHMEG53DJ52DC9J5	price-final-test-1783233097213-mr7ey01e	Price Final Test 1783233097213	variant_01KWRFKBPZ6ZP38X9D9RB070V3	Digital Download	7800				pending
prod_01KWRFMJF9850QWX9Y40BD0K9S	price-final-test-1783233136935-mr7eyuoy	Price Final Test 1783233136935	variant_01KWRFMJG30M9AZ7S6PVYNP91W	Digital Download	7800				pending
prod_01KWNTYHP4K6NRYXGCT9FY4SYG	prince-product-mr5y3ika	prince product	variant_01KWNTYHSJSMRRQVD3MRJ2T4AT	Digital Download	2899				pending
prod_01KVSFB7DRWS2W3RZ6PEWEJV29	red-strawberries	Red Strawberries	variant_01KVSFB7EKARSRMJ14F2T30WPN	Standard	699				pending
prod_01KVSFB7VJMJVD821ZFVYN9FWV	red-tomatoes	Red Tomatoes	variant_01KVSFB7WSVC6Y3C0E24ZSP890	Standard	399				pending
prod_01KVSFB913BBP6JV700C09QV5D	salmon-fillet	Salmon Fillet	variant_01KVSFB92CWGYZ3A6S6EMXP6BE	Standard	1999				pending
prod_01KVSFB8JPGQQ7QE235C4QDZX0	sourdough-loaf	Sourdough Loaf	variant_01KVSFB8K8SQ0PERBD5HNEJE6M	Standard	699				pending
prod_01KWKVPT51K2TP2M0K8WZ19GSS	ssff-mr4um6j0	ssff	variant_01KWKVPT86GTB2DBN1DBT1HN95	Digital Download	9000				pending
prod_01KVSFB7HK2723G4QTVR3DBP0S	sweet-mangoes	Sweet Mangoes	variant_01KVSFB7JCCZ0V3E7Q7JQPAYGW	Standard	799				pending
prod_01KVMKJ3951RGTQFDSA1F2Q30Z	test-organic-honey	Test Organic Honey	variant_01KVMKJ3FGBYCJ3BSJWPV4CWB7	Standard	1499				pending
prod_01KVMZH80DYPEHBAGWRAH68ASH	test-product-62c6c1fc-mqnppce1	Test Product 62c6c1fc	variant_01KVMZH82PVD9AVD9VFB1S49QN	Standard	1999				pending
prod_01KVW5WN2X0EWHYJ4SGGCA7XNP	thekua-mqrpiime	Thekua	variant_01KVW5WNE5G5M7Z46PKGYH3Y5X	Standard	2000				pending
prod_01KVWF8FG3R20YF227VBX4RJKS	thekua-mqrvd3g1	Thekua	variant_01KVWF8FWA0H73XJWWDZX63PDD	Standard	2000				pending
prod_01KVSFB97WZ9DA9P6VRTKVQAFF	tuna-steak	Tuna Steak	variant_01KVSFB992JJ928VFRNB422JQ9	Standard	1899				pending
prod_01KVSFB8V27PTZ08274047AXD9	turkey-slices	Turkey Slices	variant_01KVSFB8VPBD68YJKXTHQMNQ8W	Standard	1099				pending
prod_01KW1EJCJN58DM4ZHMHQE267VN	usd-only-1782460265026-mqumtis1	USD-Only 1782460265026	variant_01KW1EJCKFF1S0EP2ZCTFFBQNJ	Digital Download			1450		pending
prod_01KW1EP9W7SQZB996ZV3HJC9NX	usd-only-1782460393333-mqumw9s3	USD-Only 1782460393333	variant_01KW1EP9X76KCJ2MTY9PNAK081	Digital Download			1450		pending
prod_01KW1EYPEBZ45Q74GCD6HTD0RZ	usd-only-1782460668350-mqun25zc	USD-Only 1782460668350	variant_01KW1EYPEV6SS324ESV386FAMQ	Digital Download			1450		pending
prod_01KVSFB9E75M66XRVS6N0XS6ZW	white-fish-fillet	White Fish Fillet	variant_01KVSFB9F81ZZM6H5SSK61WGBN	Standard	1499				pending
prod_01KVSFB8ENFV01KZE8AYE46CJB	whole-wheat-bread	Whole Wheat Bread	variant_01KVSFB8FGBH5QYY47W48PZY7B	Standard	499				pending
