product_id,product_title,product_handle,variant_id,variant_title,cad_price,current_usd_price,suggested_usd_price,status
prod_01KVSFB913BBP6JV700C09QV5D,Salmon Fillet,salmon-fillet,variant_01KVSFB92CWGYZ3A6S6EMXP6BE,Standard,1999,,,missing_usd
prod_01KVSFB94BJ8CSBH3WSE47JY4N,Fresh Prawns,fresh-prawns,variant_01KVSFB95KV4BKPP4JT3WD2MRP,Standard,1699,,,missing_usd
prod_01KVSFB97WZ9DA9P6VRTKVQAFF,Tuna Steak,tuna-steak,variant_01KVSFB992JJ928VFRNB422JQ9,Standard,1899,,,missing_usd
prod_01KVSFB9B2AF16KR0X5JE0C3WV,Crab Meat,crab-meat,variant_01KVSFB9C5W5C0347WGB5RNS4Y,Standard,2199,,,missing_usd
prod_01KVSFB9E75M66XRVS6N0XS6ZW,White Fish Fillet,white-fish-fillet,variant_01KVSFB9F81ZZM6H5SSK61WGBN,Standard,1499,,,missing_usd
prod_01KVSPT0255E9PQS0FJZ94MPSR,Papaya,papaya-mqqc55q3,variant_01KVSPT08VCN1E9D4CYYGQBG3Q,Standard,699,,,missing_usd
prod_01KVSPZAPBTBRDSZHTRVCYXW6Z,Papaya Pack 2015cd,papaya-pack-2015cd-mqqc8whq,variant_01KVSPZAVZKYRRNKJJXMB3VJH0,Small,499,,,missing_usd
prod_01KVSPZAPBTBRDSZHTRVCYXW6Z,Papaya Pack 2015cd,papaya-pack-2015cd-mqqc8whq,variant_01KVSPZAW0S335JX2KXGD7NEQJ,Large,899,,,missing_usd
prod_01KVSQ48867BV7ZNMYB7CFZX75,Papaya Final a90dd3,papaya-final-a90dd3-mqqccd0y,variant_01KVSQ48EZAJH0KY9XVS2ZZ7BA,Standard,799,,,missing_usd
prod_01KVSQ9RMC9VY464EF61WVPZE2,Papaya Link 1a8db7,papaya-link-1a8db7-mqqcg8cz,variant_01KVSQ9RXKQWZBH7AK4VK7PTSV,Standard,899,,,missing_usd
prod_01KVSQZ00MWS1S3T7FYJJC0VXK,Papaya Link Array b9f928,papaya-link-array-b9f928-mqqcv56k,variant_01KVSQZ04ZZ120JMVMPCQ0PYQJ,Standard,999,,,missing_usd
prod_01KVSZH979HQY5NNJS0BCC8Y7Q,papaya,papaya-mqqhlb57,variant_01KVSZH9M19J7GWF1M8TV5D5ZZ,Standard,600,,,missing_usd
prod_01KVW0YM6H0HYPRV73MKDJZWDX,Pineapple,pineapple-mqrmfj25,variant_01KVW0YMR5Q4X2P1H9QVJ0W6XK,Standard,900,,,missing_usd
prod_01KVW221QD90ZE1Y069Z8VB2J4,Pineapple,pineapple-mqrn4er9,variant_01KVW221YN1BGRD3G66J4KSJTQ,Standard,700,,,missing_usd
prod_01KWW11N9K4XYTK17K7DKTSBX0,Organic OIL,organic-oil-mr9drod0,variant_01KWW11NCJY9SGGGPJ5D7WB4FR,Standard,2500,,,missing_usd
prod_01KXJNH57CMPRBEVGSAMB30EMF,chocolate,chocolate-mrly26sk,variant_01KXJNH5ASR8XNZ9QSW29B8SJ7,Standard,2200,,,missing_usd
