product_id,product_handle,product_title,product_status,sales_channel_ids,product_type,variant_count,first_variant_id,first_variant_title,first_variant_sku,first_variant_price_set_id,first_variant_usd_amount,first_variant_calculated_currency,first_variant_calculated_amount,inventory_available,storefront_visible,primary_classification,secondary_flags,frontend_included
prod_01KVMXVENQX4E26B688BTMVXRA,audit-test-product-2-mqnonkbwsjq0-mqnonkc4,Audit Test Product 2 mqnonkbwsjq0,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMXVEP81YCE2Y1MZX49M5M8,Standard,,pset_01KVMXVEPP72AKWW4T8KM26Q3S,,,,true,false,storefrontClassificationExcluded,storefront_test_or_debug|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVMXY7FF1D3Q0Z9DP55YE4Q2,audit-test-product-mqnopihsgq1s-mqnopii2,Audit Test Product mqnopihsgq1s,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMXY7GGFPBFXZF1ZGTTKHVW,Standard,,pset_01KVMXY7HEDM1692PHNWMAKCVK,,,,true,false,storefrontClassificationExcluded,storefront_test_or_debug|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVMXY7JQWG9GKXQ0FVJXV162,audit-test-product-2-mqnopikuj9ea-mqnopil0,Audit Test Product 2 mqnopikuj9ea,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMXY7K3W3M5H6ZVWT6H8Q9E,Standard,,pset_01KVMXY7KKFFK4SF60PYVKP0YZ,,,,true,false,storefrontClassificationExcluded,storefront_test_or_debug|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVMY07ACZKKM7Z9HZECBJDR4,audit-test-product-mqnoqwxr36fh-mqnoqwy0,Audit Test Product mqnoqwxr36fh,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMY07B80Q6XZE981QY1BDRE,Standard,,pset_01KVMY07C2NFARA6KK4HXQ0R51,,,,true,false,storefrontClassificationExcluded,storefront_test_or_debug|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVMY07DCKF71HCY8P68QXYHY,audit-test-product-2-mqnoqx0i97dr-mqnoqx0p,Audit Test Product 2 mqnoqx0i97dr,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMY07DVT34AGYX8VVET8NSD,Standard,,pset_01KVMY07EBDZ1TCM226TW1WXZ1,,,,false,false,storefrontClassificationExcluded,storefront_test_or_debug|inventory_unavailable_cart_blocked|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVMY1SDVZGHHZD071ADJX2CB,audit-test-product-mqnos0izqqe5-mqnos0ja,Audit Test Product mqnos0izqqe5,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMY1SET7G8MHE75B63NN560,Standard,,pset_01KVMY1SFMENYGY2Z13F4K9G8M,,,,true,false,storefrontClassificationExcluded,storefront_test_or_debug|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVMY1SGXV49GMNKFNB35T713,audit-test-product-2-mqnos0lumnu4-mqnos0m2,Audit Test Product 2 mqnos0lumnu4,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMY1SHAB1108MZT8RVQN481,Standard,,pset_01KVMY1SHTM3JHWQ5HNCFF77XC,,,,true,false,storefrontClassificationExcluded,storefront_test_or_debug|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVMZD6RA9ZERDRXD6K77CYSV,audit-test-product-f275b8c1-mqnpmi83,Audit Test Product f275b8c1,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMZD705KNMDMF3K04F4C7RN,Standard,,pset_01KVMZD75E0X996DXN32ZZP8J9,,,,true,false,storefrontClassificationExcluded,storefront_test_or_debug|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVMZH80DYPEHBAGWRAH68ASH,test-product-62c6c1fc-mqnppce1,Test Product 62c6c1fc,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMZH82PVD9AVD9VFB1S49QN,Standard,,pset_01KVMZH85DY84BR8SKYVJQVQ35,,,,true,false,storefrontClassificationExcluded,storefront_test_or_debug|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVMZXPRS2NH2BBQVHH9PXECN,audit-test-product-88b24761-mqnpy3gh,Audit Test Product 88b24761,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMZXPY2HXVJ5XVCZHEYW67H,Standard,,pset_01KVMZXQ2AG4H9M4V30DC79GZR,,,,true,false,storefrontClassificationExcluded,storefront_test_or_debug|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVN02PJ0TEWPZ721K4BC6XT7,final-1782042414-mqnq1lpn,Final 1782042414,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVN02PMQNA2VAB5Z7RZ4HW9X,Standard,,pset_01KVN02PQE6BVV0RMD75NFNZCY,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVN0BQ3GQD64A562FYTW3E62,debug-mqnq7xl0f0gw-mqnq7xmu,Debug mqnq7xl0f0gw,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVN0BQDBC897PZTFRQ2P6HDP,Standard,,pset_01KVN0BQMXYQ49DDANRV89ZT87,,,,false,false,storefrontClassificationExcluded,storefront_test_or_debug|inventory_unavailable_cart_blocked|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB71XDNGFJN01RH3C2G1M,organic-apples,Organic Apples,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB75GZJ4N0B9SY6BXDTZC,Standard,EATSIE-ORGANIC-APPLES,pset_01KVSFB77YEM556Y6A0PQTJJ4Q,3.99,usd,3.99,false,true,visibleWithValidUsdPrice,inventory_unavailable_cart_blocked,true
prod_01KVSFB7BAX6R5GFXKKCC4CYHX,fresh-bananas,Fresh Bananas,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB7CD3CVS9WN4SCVE9YXT,Standard,EATSIE-FRESH-BANANAS,pset_01KVSFB7D5SDCMC9NRH82RXCAH,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB7DRWS2W3RZ6PEWEJV29,red-strawberries,Red Strawberries,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB7EKARSRMJ14F2T30WPN,Standard,EATSIE-RED-STRAWBERRIES,pset_01KVSFB7F67J88JKRF5F649VBT,,,,false,true,missingUsdAmount,inventory_unavailable_cart_blocked|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB7FQRQPT7HHHQTS0D9QA,green-grapes,Green Grapes,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB7GDJ405F2JQJ8A68700,Standard,EATSIE-GREEN-GRAPES,pset_01KVSFB7H2YP6PKD3B65RXQMQ3,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB7HK2723G4QTVR3DBP0S,sweet-mangoes,Sweet Mangoes,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB7JCCZ0V3E7Q7JQPAYGW,Standard,EATSIE-SWEET-MANGOES,pset_01KVSFB7K1Q8YPPWDJXV4CXXX2,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB7KH3MAADTC8FXDNB7K9,organic-carrots,Organic Carrots,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB7M7DJ2NQP1MRFC161ZP,Standard,EATSIE-ORGANIC-CARROTS,pset_01KVSFB7MW519ZYSVCY30G453V,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB7NFW3HA28BEMYCHVFRJ,fresh-broccoli,Fresh Broccoli,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB7PMVBDKJ5NHD9CQQ5NX,Standard,EATSIE-FRESH-BROCCOLI,pset_01KVSFB7QM5PYMWSJ8PKXPVDZM,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB7REXCQRQ06W82C4610V,green-spinach,Green Spinach,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB7SC8G5X8ZGN2TAPHTPG,Standard,EATSIE-GREEN-SPINACH,pset_01KVSFB7TQ63A55QPSJ3AD4Z3N,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB7VJMJVD821ZFVYN9FWV,red-tomatoes,Red Tomatoes,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB7WSVC6Y3C0E24ZSP890,Standard,EATSIE-RED-TOMATOES,pset_01KVSFB7Y1EAM3S8A6HBYGZDR8,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB7Z7ZARK3KPZCNNGCFN8,organic-potatoes,Organic Potatoes,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB80MDTP8T8R6Z7GB0CQN,Standard,EATSIE-ORGANIC-POTATOES,pset_01KVSFB81STRZV93HG7VP8QYP4,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB82HYD8N48WG7XQGKWBW,organic-milk,Organic Milk,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB83K91ZD462YSQSFPK8C,Standard,EATSIE-ORGANIC-MILK,pset_01KVSFB84KT2D5DF8168A0WS87,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB85A4E8Z4E4F7ZX8E2SW,greek-yogurt,Greek Yogurt,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB86BTEA7ZEZ2M01STJYG,Standard,EATSIE-GREEK-YOGURT,pset_01KVSFB874M5ZXKH8ZN9FA9V36,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB87RKDRSY8HR988M0Z9K,cheddar-cheese,Cheddar Cheese,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB88CG0FGKBQTG2KNBZE8,Standard,EATSIE-CHEDDAR-CHEESE,pset_01KVSFB898SY6YECAC57YKA1WF,,,,false,true,missingUsdAmount,inventory_unavailable_cart_blocked|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB8A3QK5WZV03MTMEAHPD,fresh-butter,Fresh Butter,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB8B6VM0SCQ8NFQZRC239,Standard,EATSIE-FRESH-BUTTER,pset_01KVSFB8BZME78VF1TY849SYPV,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB8CFN04MJA0CDQ8Y3QZX,paneer-block,Paneer Block,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB8D6X5V3ZFD2N7NXRYY5,Standard,EATSIE-PANEER-BLOCK,pset_01KVSFB8DQ84MNNF3ENKFRVC2N,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB8ENFV01KZE8AYE46CJB,whole-wheat-bread,Whole Wheat Bread,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB8FGBH5QYY47W48PZY7B,Standard,EATSIE-WHOLE-WHEAT-BREAD,pset_01KVSFB8G5T23VS56G5T86CXFQ,,,,false,true,missingUsdAmount,inventory_unavailable_cart_blocked|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB8GJWSH1JMXG0XPG2F6N,croissant,Croissant,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB8HDHXQHA4PKSS9PQ89A,Standard,EATSIE-CROISSANT,pset_01KVSFB8J460K39GFGNP4ZHXFZ,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB8JPGQQ7QE235C4QDZX0,sourdough-loaf,Sourdough Loaf,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB8K8SQ0PERBD5HNEJE6M,Standard,EATSIE-SOURDOUGH-LOAF,pset_01KVSFB8KQZ4EDMXEF9Z4AECCW,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB8M7AVMZ6888SSSYQE5K,muffins-pack,Muffins Pack,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB8MVTVENGRRVN6V61TQN,Standard,EATSIE-MUFFINS-PACK,pset_01KVSFB8NB43ZKH3XX5MW9XC3A,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB8NSZ67XN9G17BJJ1W38,organic-cookies,Organic Cookies,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB8PAKFQGF5B8VM9DCSFJ,Standard,EATSIE-ORGANIC-COOKIES,pset_01KVSFB8PXNTSG2GQYD64G1ZW0,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB8QBJ9M95V6E0DFZWHBV,chicken-breast,Chicken Breast,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB8R0M148Z5PHK7597K2E,Standard,EATSIE-CHICKEN-BREAST,pset_01KVSFB8RK9E6DZY2R22Q015YT,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB8S2F4YXNV9BAKSNB9M2,lamb-chops,Lamb Chops,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB8STSXDM303M3W7B1C6A,Standard,EATSIE-LAMB-CHOPS,pset_01KVSFB8TCBYHJ9YD58J8F6PRV,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB8V27PTZ08274047AXD9,turkey-slices,Turkey Slices,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB8VPBD68YJKXTHQMNQ8W,Standard,EATSIE-TURKEY-SLICES,pset_01KVSFB8W5VM32WY9QZ12N1R91,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB8WPTXN2GCYBZ5XH4RH6,beef-steak,Beef Steak,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB8X9WW94FBJDVM4J4VFH,Standard,EATSIE-BEEF-STEAK,pset_01KVSFB8XXR3NVBGV45WHG54GJ,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB8YFCM952E63E8F4955Z,chicken-sausages,Chicken Sausages,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB8Z51WWP1W03QSDBY8N3,Standard,EATSIE-CHICKEN-SAUSAGES,pset_01KVSFB906MTZW6AWVMWTZJ2J5,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB913BBP6JV700C09QV5D,salmon-fillet,Salmon Fillet,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB92CWGYZ3A6S6EMXP6BE,Standard,EATSIE-SALMON-FILLET,pset_01KVSFB93BV978BCNBTFKZSJPP,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB94BJ8CSBH3WSE47JY4N,fresh-prawns,Fresh Prawns,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB95KV4BKPP4JT3WD2MRP,Standard,EATSIE-FRESH-PRAWNS,pset_01KVSFB96X0A4KPYT2GFPGNV0C,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB97WZ9DA9P6VRTKVQAFF,tuna-steak,Tuna Steak,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB992JJ928VFRNB422JQ9,Standard,EATSIE-TUNA-STEAK,pset_01KVSFB9A7DV4D21PX7CNBJ7DV,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB9B2AF16KR0X5JE0C3WV,crab-meat,Crab Meat,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB9C5W5C0347WGB5RNS4Y,Standard,EATSIE-CRAB-MEAT,pset_01KVSFB9D64Q55APBVM0BKAPZS,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSFB9E75M66XRVS6N0XS6ZW,white-fish-fillet,White Fish Fillet,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSFB9F81ZZM6H5SSK61WGBN,Standard,EATSIE-WHITE-FISH-FILLET,pset_01KVSFB9G3X9376X2ZFKAD3B79,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSPT0255E9PQS0FJZ94MPSR,papaya-mqqc55q3,Papaya,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSPT08VCN1E9D4CYYGQBG3Q,Standard,PAPAYA-VERIFY,pset_01KVSPT0B65JRZKV3SMK5WFEV2,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSPZAPBTBRDSZHTRVCYXW6Z,papaya-pack-2015cd-mqqc8whq,Papaya Pack 2015cd,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,2,variant_01KVSPZAVZKYRRNKJJXMB3VJH0,Small,PAP-S-a3a2,pset_01KVSPZAY4Z03NKP472WSPVGA2,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSQ48867BV7ZNMYB7CFZX75,papaya-final-a90dd3-mqqccd0y,Papaya Final a90dd3,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSQ48EZAJH0KY9XVS2ZZ7BA,Standard,PAPAYA-FINAL-04c9,pset_01KVSQ48J2ZDP1JXQ1W90WQ78C,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSQ9RMC9VY464EF61WVPZE2,papaya-link-1a8db7-mqqcg8cz,Papaya Link 1a8db7,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSQ9RXKQWZBH7AK4VK7PTSV,Standard,PAPAYA-LINK-638d,pset_01KVSQ9S0Q5KMR28SRFC4JR3NX,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSQZ00MWS1S3T7FYJJC0VXK,papaya-link-array-b9f928-mqqcv56k,Papaya Link Array b9f928,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSQZ04ZZ120JMVMPCQ0PYQJ,Standard,PAPAYA-ARRAY-dbca,pset_01KVSQZ06R7209J4XC8NE2QMN4,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSR6H141CJWVP91R4T3TD8E,papaya-vendor-smoke-dc9962-mqqd0fm9,Papaya Vendor Smoke dc9962,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSR6H59F57ED9M0GRE24BNJ,Standard,PAP-SMOKE-dc9962,pset_01KVSR6H7YWGGP01BSQC011VED,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVSZH979HQY5NNJS0BCC8Y7Q,papaya-mqqhlb57,papaya,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVSZH9M19J7GWF1M8TV5D5ZZ,Standard,VENDOR-mqqhlb5x-1,pset_01KVSZH9QSZYSCRJCBCN2YANW9,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVW0YM6H0HYPRV73MKDJZWDX,pineapple-mqrmfj25,Pineapple,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVW0YMR5Q4X2P1H9QVJ0W6XK,Standard,VENDOR-mqrmfj31-1,pset_01KVW0YN151689PEAX4XMTP1C9,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVW221QD90ZE1Y069Z8VB2J4,pineapple-mqrn4er9,Pineapple,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVW221YN1BGRD3G66J4KSJTQ,Standard,VENDOR-mqrn4ern-1,pset_01KVW2221YZ7PCQYJQ8R28795H,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVW5WN2X0EWHYJ4SGGCA7XNP,thekua-mqrpiime,Thekua,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVW5WNE5G5M7Z46PKGYH3Y5X,Standard,VENDOR-mqrpiio4-1,pset_01KVW5WNJ6MJ0PMH2S834ACKDR,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVWF8FG3R20YF227VBX4RJKS,thekua-mqrvd3g1,Thekua,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVWF8FWA0H73XJWWDZX63PDD,Standard,VENDOR-mqrvd3ga-1,pset_01KVWF8FYEHM73R5HW3FQQ3CFD,,,,true,true,missingUsdAmount,first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KW1E8JX774PPRMQ88VN5GR9Q,e-book-gardening-1782459943821-mqummmxt,E-Book Gardening 1782459943821,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KW1E8K0NT9NVRYR5EDKC77CM,Digital Download,DIGITAL-1782459943841,pset_01KW1E8K29W2AMM453G4SFEKAQ,2499,usd,2499,true,true,visibleWithValidUsdPrice,,true
prod_01KW1E8K65ZETX0GGC3HFR1PFA,empty-file-1782459944121-mqummn5u,Empty File 1782459944121,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KW1E8K6N09Y4GB3RC81NES8M,Digital Download,DIGITAL-1782459944130,pset_01KW1E8K74DNT1SKAKRZT6JENG,500,usd,500,true,false,storefrontClassificationExcluded,storefront_test_or_debug,false
