product_id,product_handle,product_title,variant_id,variant_title,sku,current_cad_amount,proposed_usd_amount,review_status,notes
prod_01KVSFB8JPGQQ7QE235C4QDZX0,sourdough-loaf,Sourdough Loaf,variant_01KVSFB8K8SQ0PERBD5HNEJE6M,Standard,EATSIE-SOURDOUGH-LOAF,699,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB8M7AVMZ6888SSSYQE5K,muffins-pack,Muffins Pack,variant_01KVSFB8MVTVENGRRVN6V61TQN,Standard,EATSIE-MUFFINS-PACK,899,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB8NSZ67XN9G17BJJ1W38,organic-cookies,Organic Cookies,variant_01KVSFB8PAKFQGF5B8VM9DCSFJ,Standard,EATSIE-ORGANIC-COOKIES,649,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB8QBJ9M95V6E0DFZWHBV,chicken-breast,Chicken Breast,variant_01KVSFB8R0M148Z5PHK7597K2E,Standard,EATSIE-CHICKEN-BREAST,1299,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB8S2F4YXNV9BAKSNB9M2,lamb-chops,Lamb Chops,variant_01KVSFB8STSXDM303M3W7B1C6A,Standard,EATSIE-LAMB-CHOPS,1899,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB8V27PTZ08274047AXD9,turkey-slices,Turkey Slices,variant_01KVSFB8VPBD68YJKXTHQMNQ8W,Standard,EATSIE-TURKEY-SLICES,1099,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB8WPTXN2GCYBZ5XH4RH6,beef-steak,Beef Steak,variant_01KVSFB8X9WW94FBJDVM4J4VFH,Standard,EATSIE-BEEF-STEAK,2299,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB8YFCM952E63E8F4955Z,chicken-sausages,Chicken Sausages,variant_01KVSFB8Z51WWP1W03QSDBY8N3,Standard,EATSIE-CHICKEN-SAUSAGES,999,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB913BBP6JV700C09QV5D,salmon-fillet,Salmon Fillet,variant_01KVSFB92CWGYZ3A6S6EMXP6BE,Standard,EATSIE-SALMON-FILLET,1999,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB94BJ8CSBH3WSE47JY4N,fresh-prawns,Fresh Prawns,variant_01KVSFB95KV4BKPP4JT3WD2MRP,Standard,EATSIE-FRESH-PRAWNS,1699,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB97WZ9DA9P6VRTKVQAFF,tuna-steak,Tuna Steak,variant_01KVSFB992JJ928VFRNB422JQ9,Standard,EATSIE-TUNA-STEAK,1899,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB9B2AF16KR0X5JE0C3WV,crab-meat,Crab Meat,variant_01KVSFB9C5W5C0347WGB5RNS4Y,Standard,EATSIE-CRAB-MEAT,2199,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB9E75M66XRVS6N0XS6ZW,white-fish-fillet,White Fish Fillet,variant_01KVSFB9F81ZZM6H5SSK61WGBN,Standard,EATSIE-WHITE-FISH-FILLET,1499,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSPT0255E9PQS0FJZ94MPSR,papaya-mqqc55q3,Papaya,variant_01KVSPT08VCN1E9D4CYYGQBG3Q,Standard,PAPAYA-VERIFY,699,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSPZAPBTBRDSZHTRVCYXW6Z,papaya-pack-2015cd-mqqc8whq,Papaya Pack 2015cd,variant_01KVSPZAVZKYRRNKJJXMB3VJH0,Small,PAP-S-a3a2,499,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSPZAPBTBRDSZHTRVCYXW6Z,papaya-pack-2015cd-mqqc8whq,Papaya Pack 2015cd,variant_01KVSPZAW0S335JX2KXGD7NEQJ,Large,PAP-L-ea15,899,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSQ48867BV7ZNMYB7CFZX75,papaya-final-a90dd3-mqqccd0y,Papaya Final a90dd3,variant_01KVSQ48EZAJH0KY9XVS2ZZ7BA,Standard,PAPAYA-FINAL-04c9,799,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSQ9RMC9VY464EF61WVPZE2,papaya-link-1a8db7-mqqcg8cz,Papaya Link 1a8db7,variant_01KVSQ9RXKQWZBH7AK4VK7PTSV,Standard,PAPAYA-LINK-638d,899,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSQZ00MWS1S3T7FYJJC0VXK,papaya-link-array-b9f928-mqqcv56k,Papaya Link Array b9f928,variant_01KVSQZ04ZZ120JMVMPCQ0PYQJ,Standard,PAPAYA-ARRAY-dbca,999,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSR6H141CJWVP91R4T3TD8E,papaya-vendor-smoke-dc9962-mqqd0fm9,Papaya Vendor Smoke dc9962,variant_01KVSR6H59F57ED9M0GRE24BNJ,Standard,PAP-SMOKE-dc9962,999,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSZH979HQY5NNJS0BCC8Y7Q,papaya-mqqhlb57,papaya,variant_01KVSZH9M19J7GWF1M8TV5D5ZZ,Standard,VENDOR-mqqhlb5x-1,600,,NEEDS_REVIEW,Merchant USD price required
prod_01KVW0YM6H0HYPRV73MKDJZWDX,pineapple-mqrmfj25,Pineapple,variant_01KVW0YMR5Q4X2P1H9QVJ0W6XK,Standard,VENDOR-mqrmfj31-1,900,,NEEDS_REVIEW,Merchant USD price required
prod_01KVW221QD90ZE1Y069Z8VB2J4,pineapple-mqrn4er9,Pineapple,variant_01KVW221YN1BGRD3G66J4KSJTQ,Standard,VENDOR-mqrn4ern-1,700,,NEEDS_REVIEW,Merchant USD price required
prod_01KVW5WN2X0EWHYJ4SGGCA7XNP,thekua-mqrpiime,Thekua,variant_01KVW5WNE5G5M7Z46PKGYH3Y5X,Standard,VENDOR-mqrpiio4-1,2000,,NEEDS_REVIEW,Merchant USD price required
prod_01KVWF8FG3R20YF227VBX4RJKS,thekua-mqrvd3g1,Thekua,variant_01KVWF8FWA0H73XJWWDZX63PDD,Standard,VENDOR-mqrvd3ga-1,2000,,NEEDS_REVIEW,Merchant USD price required
prod_01KWHSBEPFGTCBKNAQACQYZHJR,master-class-notes-mr3p6vni,master class notes,variant_01KWHSBERK2DJ0DNPQR3NYZ9BY,Digital Download,DIGITAL-1783008443073,1700,,NEEDS_REVIEW,Merchant USD price required
prod_01KWHT1K6NX18YED89NZPCEPD2,master-class-book-mr3pmfgr,master class book,variant_01KWHT1K91GCQTENK2204MYG41,Digital Download,DIGITAL-1783009168591,999,,NEEDS_REVIEW,Merchant USD price required
prod_01KWHV6ZPSQJ28CN6X8T3JE4BA,anaana-mr3qcouf,anaana,variant_01KWHV6ZRNCK5WTHEX10JPM6FZ,Digital Download,DIGITAL-1783010393804,196,,NEEDS_REVIEW,Merchant USD price required
prod_01KWHZ0X6CHGKHYZH4Z1A6XHT8,master-class-of-chatgpt-mr3sqbi6,master class of chatgpt,variant_01KWHZ0X8N97ZVTCZBK0BGHJF8,Digital Download,DIGITAL-1783014388928,900,,NEEDS_REVIEW,Merchant USD price required
prod_01KWHZN4Q2FW2Z78K1SG8SGD4E,abcd-mr3t4j4n,abcd,variant_01KWHZN4S3PZZGADF85XSCYAG4,Digital Download,DIGITAL-1783015051996,9897,,NEEDS_REVIEW,Merchant USD price required
prod_01KWJ0NRWG4CAMH6V1RF25FB3X,kdksks-mr3trg5b,kdksks,variant_01KWJ0NRYQB2W72NVMCCT49KGK,Digital Download,DIGITAL-1783016121219,23395,,NEEDS_REVIEW,Merchant USD price required
prod_01KWKVPT51K2TP2M0K8WZ19GSS,ssff-mr4um6j0,ssff,variant_01KWKVPT86GTB2DBN1DBT1HN95,Digital Download,DIGITAL-MR4UM6J0,9000,,NEEDS_REVIEW,Merchant USD price required
prod_01KWMAM00WTB7B5P6AJ799RYTC,codex-digital-upload-verification-mr53xbma,Codex Digital Upload Verification,variant_01KWMAM042JP42Y1AX94QRR9V7,Digital Download,DIGITAL-MR53XBMA,2000,,NEEDS_REVIEW,Merchant USD price required
prod_01KWMDFGBBCVK7DC7K1JZCMTJM,abcdefg-mr55plcv,abcdefg,variant_01KWMDFGDF085SGFC0E8A8CAF4,Digital Download,DIGITAL-MR55PLCV,2900,,NEEDS_REVIEW,Merchant USD price required
prod_01KWMFJENJQ0CADDKAPZ142MZA,organic-book-mr570m1x,organic book,variant_01KWMFJES8MX8JS58Q6MB35Q1G,Digital Download,DIGITAL-MR570M1X,4995,,NEEDS_REVIEW,Merchant USD price required
prod_01KWNTYHP4K6NRYXGCT9FY4SYG,prince-product-mr5y3ika,prince product,variant_01KWNTYHSJSMRRQVD3MRJ2T4AT,Digital Download,DIGITAL-MR5Y3IKA,2899,,NEEDS_REVIEW,Merchant USD price required
prod_01KWPXVTWMG9C90F0WCQGWAPFT,first-product-mr6jw808,first product,variant_01KWPXVTYE8QNG3R2AMFXZ9BQ0,Digital Download,DIGITAL-MR6JW808,8900,,NEEDS_REVIEW,Merchant USD price required
prod_01KWPYVVN6WMB545K1QD48G368,first-product-mr6kipp4,first product,variant_01KWPYVVQ4P3AQX6MV1D529JFC,Digital Download,DIGITAL-MR6KIPP4,5897,,NEEDS_REVIEW,Merchant USD price required
prod_01KWPZ751172E2TJGVJD9KNTKA,1-st-product-mr6kqn8a,1 st product,variant_01KWPZ751Z4X6NS0CQGPY3YS9N,Digital Download,DIGITAL-MR6KQN8A,6000,,NEEDS_REVIEW,Merchant USD price required
prod_01KWQ0QFX7S61WFT27SVRE6RMK,first-e-book-mr6lolgc,First E Book,variant_01KWQ0QFYM01DK8EHXM9ADFW3B,Digital Download,DIGITAL-MR6LOLGC,8898,,NEEDS_REVIEW,Merchant USD price required
prod_01KWQ1KPJ353283BZV8W23TE03,2nd-book-mr6m8enl,2nd book,variant_01KWQ1KPM3PSW0M8R6VD1SR9G1,Digital Download,DIGITAL-MR6M8ENL,9000,,NEEDS_REVIEW,Merchant USD price required
prod_01KWQ1NW3DSVAZ40HWKGZ3G8ZG,3rd-book-mr6m9xlw,3rd book,variant_01KWQ1NW4DCTQZMDVYQJSSJ1PN,Digital Download,DIGITAL-MR6M9XLW,1998,,NEEDS_REVIEW,Merchant USD price required
prod_01KWQ33JKCZM29X376W8YPMYX5,kmdcdlka-mr6n615p,kmdcdlka,variant_01KWQ33JNZJQKPXJQBG9YD9TA3,Digital Download,DIGITAL-MR6N615P,779400,,NEEDS_REVIEW,Merchant USD price required
prod_01KWQ48V3QXBHNKJ3WW92VXHPB,open-ebbbok-mr6nw7e2,open ebbbok,variant_01KWQ48V5KTFPFVGKB8H7PD2S4,Digital Download,DIGITAL-MR6NW7E2,8694,,NEEDS_REVIEW,Merchant USD price required
prod_01KWQ57CSJQ1VBVF7BTTYSEDRY,physics-book-mr6ohnvo,physics book,variant_01KWQ57CVG1FJEREF9QRNT7T47,Digital Download,DIGITAL-MR6OHNVO,9000,,NEEDS_REVIEW,Merchant USD price required
prod_01KWW0QKYEEXVQEKWXXME70BSX,organic-oil-20260706205845-mr9dkmgn,ORGANIC OIL 20260706205845,variant_01KWW0QM4SQPZ5RZKAFAFGETBZ,Standard,OIL-20260706205845,1000,,NEEDS_REVIEW,Merchant USD price required
prod_01KWW0R7M8TYHQJMQTWRQ6FXPZ,decimal-oil-20260706205906-mr9dl20k,DECIMAL OIL 20260706205906,variant_01KWW0R7NT0T4WR9WM88ATBPTR,Standard,DEC-20260706205906,599,,NEEDS_REVIEW,Merchant USD price required
