priority,product_id,product_handle,product_title,variant_id,variant_title,current_cad_price,approved_cad_price,current_usd_price,approved_usd_price,cad_issue,usd_issue,approval_status,merchant_note
1,prod_01KVSFB8WPTXN2GCYBZ5XH4RH6,beef-steak,Beef Steak,variant_01KVSFB8X9WW94FBJDVM4J4VFH,Standard,2299,,,,unusually_large,missing,pending,
1,prod_01KVSFB8YFCM952E63E8F4955Z,chicken-sausages,Chicken Sausages,variant_01KVSFB8Z51WWP1W03QSDBY8N3,Standard,999,,,,none,missing,pending,
1,prod_01KVSFB913BBP6JV700C09QV5D,salmon-fillet,Salmon Fillet,variant_01KVSFB92CWGYZ3A6S6EMXP6BE,Standard,1999,,,,unusually_large,missing,pending,
1,prod_01KVSFB94BJ8CSBH3WSE47JY4N,fresh-prawns,Fresh Prawns,variant_01KVSFB95KV4BKPP4JT3WD2MRP,Standard,1699,,,,unusually_large,missing,pending,
1,prod_01KVSFB97WZ9DA9P6VRTKVQAFF,tuna-steak,Tuna Steak,variant_01KVSFB992JJ928VFRNB422JQ9,Standard,1899,,,,unusually_large,missing,pending,
1,prod_01KVSFB9B2AF16KR0X5JE0C3WV,crab-meat,Crab Meat,variant_01KVSFB9C5W5C0347WGB5RNS4Y,Standard,2199,,,,unusually_large,missing,pending,
1,prod_01KVSFB9E75M66XRVS6N0XS6ZW,white-fish-fillet,White Fish Fillet,variant_01KVSFB9F81ZZM6H5SSK61WGBN,Standard,1499,,,,unusually_large,missing,pending,
1,prod_01KVSPT0255E9PQS0FJZ94MPSR,papaya-mqqc55q3,Papaya,variant_01KVSPT08VCN1E9D4CYYGQBG3Q,Standard,699,,,,none,missing,pending,
1,prod_01KVSPZAPBTBRDSZHTRVCYXW6Z,papaya-pack-2015cd-mqqc8whq,Papaya Pack 2015cd,variant_01KVSPZAVZKYRRNKJJXMB3VJH0,Small,499,,,,none,missing,pending,
1,prod_01KVSPZAPBTBRDSZHTRVCYXW6Z,papaya-pack-2015cd-mqqc8whq,Papaya Pack 2015cd,variant_01KVSPZAW0S335JX2KXGD7NEQJ,Large,899,,,,none,missing,pending,
1,prod_01KVSQ48867BV7ZNMYB7CFZX75,papaya-final-a90dd3-mqqccd0y,Papaya Final a90dd3,variant_01KVSQ48EZAJH0KY9XVS2ZZ7BA,Standard,799,,,,none,missing,pending,
1,prod_01KVSQ9RMC9VY464EF61WVPZE2,papaya-link-1a8db7-mqqcg8cz,Papaya Link 1a8db7,variant_01KVSQ9RXKQWZBH7AK4VK7PTSV,Standard,899,,,,none,missing,pending,
1,prod_01KVSQZ00MWS1S3T7FYJJC0VXK,papaya-link-array-b9f928-mqqcv56k,Papaya Link Array b9f928,variant_01KVSQZ04ZZ120JMVMPCQ0PYQJ,Standard,999,,,,none,missing,pending,
1,prod_01KVSR6H141CJWVP91R4T3TD8E,papaya-vendor-smoke-dc9962-mqqd0fm9,Papaya Vendor Smoke dc9962,variant_01KVSR6H59F57ED9M0GRE24BNJ,Standard,999,,,,none,missing,pending,
1,prod_01KVSZH979HQY5NNJS0BCC8Y7Q,papaya-mqqhlb57,papaya,variant_01KVSZH9M19J7GWF1M8TV5D5ZZ,Standard,600,,,,possibly_minor_unit_legacy,missing,pending,
1,prod_01KVW0YM6H0HYPRV73MKDJZWDX,pineapple-mqrmfj25,Pineapple,variant_01KVW0YMR5Q4X2P1H9QVJ0W6XK,Standard,900,,,,possibly_minor_unit_legacy,missing,pending,
1,prod_01KVW221QD90ZE1Y069Z8VB2J4,pineapple-mqrn4er9,Pineapple,variant_01KVW221YN1BGRD3G66J4KSJTQ,Standard,700,,,,possibly_minor_unit_legacy,missing,pending,
1,prod_01KVW5WN2X0EWHYJ4SGGCA7XNP,thekua-mqrpiime,Thekua,variant_01KVW5WNE5G5M7Z46PKGYH3Y5X,Standard,2000,,,,unusually_large,missing,pending,
1,prod_01KVWF8FG3R20YF227VBX4RJKS,thekua-mqrvd3g1,Thekua,variant_01KVWF8FWA0H73XJWWDZX63PDD,Standard,2000,,,,unusually_large,missing,pending,
1,prod_01KWW0QKYEEXVQEKWXXME70BSX,organic-oil-20260706205845-mr9dkmgn,ORGANIC OIL 20260706205845,variant_01KWW0QM4SQPZ5RZKAFAFGETBZ,Standard,1000,,,,possibly_minor_unit_legacy,missing,pending,
2,prod_01KWW11N9K4XYTK17K7DKTSBX0,organic-oil-mr9drod0,Organic OIL,variant_01KWW11NCJY9SGGGPJ5D7WB4FR,Standard,25,25,18.99,18.99,none,none,approved,Testing approved CAD and USD price
2,prod_01KXJNH57CMPRBEVGSAMB30EMF,chocolate-mrly26sk,chocolate,variant_01KXJNH5ASR8XNZ9QSW29B8SJ7,Standard,22,22,16.99,16.99,none,none,approved,Testing approved CAD and USD price
