product_id,product_title,product_status,product_type,variant_id,variant_title,sku,existing_barcode,existing_ean,existing_upc,inventory_item_id,pos_sales_channel_linked,classification,suggested_internal_barcode,approved_action,approved_barcode,notes
"prod_01KWRHGVF51RH6HYB0H5DJ69PJ","Currency Test Digital Book 1783235112181","published","Digital Product","variant_01KWRHGVHFHT2S9M8WQPNFP706","Default","DIGITAL-MR7G56U6","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVN0BQ3GQD64A562FYTW3E62","Debug mqnq7xl0f0gw","published","","variant_01KVN0BQDBC897PZTFRQ2P6HDP","Standard","","","","","iitem_01KVN0BQGS2J5D39MW3JAR1MQT","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWW0R7M8TYHQJMQTWRQ6FXPZ","DECIMAL OIL 20260706205906","published","","variant_01KWW0R7NT0T4WR9WM88ATBPTR","Standard","DEC-20260706205906","","","","iitem_01KWW0R7P541243ZPJBFPHZ6N6","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWHRE9CY4M3RS6QETG5HFW6K","e book","published","Digital Product","variant_01KWHRE9KW4BY4VGZVJ9RYDR04","Digital Download","DIGITAL-1783007487373","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KW1E8JX774PPRMQ88VN5GR9Q","E-Book Gardening 1782459943821","published","","variant_01KW1E8K0NT9NVRYR5EDKC77CM","Digital Download","DIGITAL-1782459943841","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KW1ECW8TGFYJMNMV1NDF1RT7","E-Book Gardening 1782460084480","published","","variant_01KW1ECW9SKM0VPQBFPSXBGKCS","Digital Download","DIGITAL-1782460084502","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KW1EJC8ZKS0WR0KN883CGQA8","E-Book Gardening 1782460264701","published","","variant_01KW1EJC9VS51Y9ZJZADMD4YCR","Digital Download","DIGITAL-1782460264731","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KW1EP9GVF1VAK1ZQ44HHR4W8","E-Book Gardening 1782460392951","published","","variant_01KW1EP9JSQPZCPCQ3PZK1A1F6","Digital Download","DIGITAL-1782460392980","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KW1EYP5CCFDDB2Z81R8HQ3VE","E-Book Gardening 1782460668053","published","","variant_01KW1EYP6Y9X6CXHN5FAEDYKZ5","Digital Download","DIGITAL-1782460668072","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWPX4HF4YXN4SF1ANB8AJNHD","E-Book Gardening 1783180182970","published","Digital Product","variant_01KWPX4HJTNC65C6YKW8PB33HC","Digital Download","DIGITAL-MR6JFV15","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ05SK0PDA0T4GNHWA0A3MQ","E2E Digital Book 1783183369763","published","Digital Product","variant_01KWQ05SNWQJ2V5Y0RGBTDWR2A","Digital Download","DIGITAL-MR6LC5ZT","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ06JCFSANEP04YXDND06BW","E2E Digital Book 1783183395158","published","Digital Product","variant_01KWQ06JEV2WDJ465Q4G6H70HX","Digital Download","DIGITAL-MR6LCPL2","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ08JHXBV4P7PMB7SXVDXAZ","E2E Digital Book 1783183460882","published","Digital Product","variant_01KWQ08JKGSYB0K690PSTC3TN3","Digital Download","DIGITAL-MR6LE4AF","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ0DK5AXAQ4T3FBW1HF6XSM","E2E Digital Book 1783183625341","published","Digital Product","variant_01KWQ0DK6K6H6SFK0140PP1WEJ","Digital Download","DIGITAL-MR6LHN6L","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ0EW4FSVV6DB8ZXQ0MP0X4","E2E Digital Book 1783183667294","published","Digital Product","variant_01KWQ0EW6QHKYG9VJGED0AWW6E","Digital Download","DIGITAL-MR6LIJK4","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ0FGWAANHBB3HHJT0K5MYK","E2E Digital Book 1783183688543","published","Digital Product","variant_01KWQ0FGY17EH6H97SZMQST22V","Digital Download","DIGITAL-MR6LIZYB","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ19X3DAJNED5GYSJFW1Y2M","E2E Digital Book 1783184553026","published","Digital Product","variant_01KWQ19X5RGXHQ5HA22TEG3H9Y","Digital Download","DIGITAL-MR6M1IZR","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ1BJ50SDZETZMF4PD7QPV1","E2E Digital Book 1783184607341","published","Digital Product","variant_01KWQ1BJ77T14ZJRW8ETNH7VC4","Digital Download","DIGITAL-MR6M2OWP","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ1CWBRAVZFZ759ZEBJ6W8K","E2E Digital Book 1783184650573","published","Digital Product","variant_01KWQ1CWDAMKYPYS8SJ5X8K4PT","Digital Download","DIGITAL-MR6M3M9E","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ1EK1W6P2NWMMY6JHBD1ZV","E2E Digital Book 1783184706575","published","Digital Product","variant_01KWQ1EK3EB6FCTZK7SM8GXJPE","Digital Download","DIGITAL-MR6M4TH1","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ204DYY6BNP9GCKJBYH4WN","E2E Digital Book 1783185281422","published","Digital Product","variant_01KWQ204H8V6V6C1QEVSEA0YFD","Digital Download","DIGITAL-MR6MH512","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ21E19635QBYB02ZAF884S","E2E Digital Book 1783185324049","published","Digital Product","variant_01KWQ21E1ZPCTH0HKKP6VFG5FZ","Digital Download","DIGITAL-MR6MI1WL","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ3W56M656QFHSAJVVAFQ7S","E2E Digital Book 1783187248294","published","Digital Product","variant_01KWQ3W58XT816QN4YCJ6PF06K","Digital Download","DIGITAL-MR6NNAOE","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KW1E8K65ZETX0GGC3HFR1PFA","Empty File 1782459944121","published","","variant_01KW1E8K6N09Y4GB3RC81NES8M","Digital Download","DIGITAL-1782459944130","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KW1ECWD7YBQVQJKN1Q2CZY9T","Empty File 1782460084625","published","","variant_01KW1ECWDX1HNB8T3K58SG9C5W","Digital Download","DIGITAL-1782460084640","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KW1EJCNM7TK49E7TKA60VTHC","Empty File 1782460265127","published","","variant_01KW1EJCP1SXBJ4K71R3050VRH","Digital Download","DIGITAL-1782460265136","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KW1EP9ZQCAGS8TN035AZGK7Q","Empty File 1782460393451","published","","variant_01KW1EPA048N2MR3Z95G0JE5C0","Digital Download","DIGITAL-1782460393460","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KW1EYPH6720Z27HHRNM1GX73","Empty File 1782460668442","published","","variant_01KW1EYPHJ3V67JXKEG4G2N6V6","Digital Download","DIGITAL-1782460668451","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVN02PJ0TEWPZ721K4BC6XT7","Final 1782042414","published","","variant_01KVN02PMQNA2VAB5Z7RZ4HW9X","Standard","","","","","iitem_01KVN02PNP6A33RCFM5QB8DQWP","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ0QFX7S61WFT27SVRE6RMK","First E Book","published","Digital Product","variant_01KWQ0QFYM01DK8EHXM9ADFW3B","Digital Download","DIGITAL-MR6LOLGC","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWPXVTWMG9C90F0WCQGWAPFT","first product","published","Digital Product","variant_01KWPXVTYE8QNG3R2AMFXZ9BQ0","Digital Download","DIGITAL-MR6JW808","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWPYVVN6WMB545K1QD48G368","first product","published","Digital Product","variant_01KWPYVVQ4P3AQX6MV1D529JFC","Digital Download","DIGITAL-MR6KIPP4","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB7BAX6R5GFXKKCC4CYHX","Fresh Bananas","published","","variant_01KVSFB7CD3CVS9WN4SCVE9YXT","Standard","EATSIE-FRESH-BANANAS","","","","iitem_01KVSFB7CQ0NPN56DM23P4FFR4","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB7NFW3HA28BEMYCHVFRJ","Fresh Broccoli","published","","variant_01KVSFB7PMVBDKJ5NHD9CQQ5NX","Standard","EATSIE-FRESH-BROCCOLI","","","","iitem_01KVSFB7Q0JEHNT93KMGZEFBXS","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB8A3QK5WZV03MTMEAHPD","Fresh Butter","published","","variant_01KVSFB8B6VM0SCQ8NFQZRC239","Standard","EATSIE-FRESH-BUTTER","","","","iitem_01KVSFB8BHRMHJMRNR432VH7P5","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB94BJ8CSBH3WSE47JY4N","Fresh Prawns","published","","variant_01KVSFB95KV4BKPP4JT3WD2MRP","Standard","EATSIE-FRESH-PRAWNS","","","","iitem_01KVSFB962B3M0YQ66YWH3T3Q0","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB85A4E8Z4E4F7ZX8E2SW","Greek Yogurt","published","","variant_01KVSFB86BTEA7ZEZ2M01STJYG","Standard","EATSIE-GREEK-YOGURT","","","","iitem_01KVSFB86MJP62WP6B69J424YN","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB7FQRQPT7HHHQTS0D9QA","Green Grapes","published","","variant_01KVSFB7GDJ405F2JQJ8A68700","Standard","EATSIE-GREEN-GRAPES","","","","iitem_01KVSFB7GMG7FVV1EPSXEF74RY","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB7REXCQRQ06W82C4610V","Green Spinach","published","","variant_01KVSFB7SC8G5X8ZGN2TAPHTPG","Standard","EATSIE-GREEN-SPINACH","","","","iitem_01KVSFB7SSW17ECD0QBEC18H92","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWM7P1BTZPR2T6V6KN7DNAZ9","hacker dock","published","Digital Product","variant_01KWM7P1ET83TD8E61VZAPA2C2","Digital Download","DIGITAL-MR523BZE","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWJ0NRWG4CAMH6V1RF25FB3X","kdksks","published","Digital Product","variant_01KWJ0NRYQB2W72NVMCCT49KGK","Digital Download","DIGITAL-1783016121219","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ33JKCZM29X376W8YPMYX5","kmdcdlka","published","Digital Product","variant_01KWQ33JNZJQKPXJQBG9YD9TA3","Digital Download","DIGITAL-MR6N615P","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB8S2F4YXNV9BAKSNB9M2","Lamb Chops","published","","variant_01KVSFB8STSXDM303M3W7B1C6A","Standard","EATSIE-LAMB-CHOPS","","","","iitem_01KVSFB8T202KC2QH0EEBWP94P","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVMCKDHHQQPJZ72BHN5A5ETD","lyuyhybuyhbb","published","","variant_01KVMCKDKFZJWW29S963TVY186","Digital Download","DIGITAL-1782021994027","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVMCN2V0YK5CRHYA4CH2CTR3","lyuyhybuyhbb","published","","variant_01KVMCN2VRXEM77SFC9PQQKMQ3","Digital Download","DIGITAL-1782022048603","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWHT1K6NX18YED89NZPCEPD2","master class book","published","Digital Product","variant_01KWHT1K91GCQTENK2204MYG41","Digital Download","DIGITAL-1783009168591","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWHSBEPFGTCBKNAQACQYZHJR","master class notes","published","Digital Product","variant_01KWHSBERK2DJ0DNPQR3NYZ9BY","Digital Download","DIGITAL-1783008443073","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWHZ0X6CHGKHYZH4Z1A6XHT8","master class of chatgpt","published","Digital Product","variant_01KWHZ0X8N97ZVTCZBK0BGHJF8","Digital Download","DIGITAL-1783014388928","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWM8ZK4J5N85XC0FA72RSKV3","medusa doc","published","Digital Product","variant_01KWM8ZK7M0N53K4XHBKP2BG5X","Digital Download","DIGITAL-MR52WINR","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RJDP0QXZ4B09QGJ0S","Medusa Shorts","published","","variant_01KVJF9J7WPJ0J6KXS78K8B4AX","L","SHORTS-L","","","","iitem_01KVJF9J8YVDWM3AZPGQGZKH3R","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RJDP0QXZ4B09QGJ0S","Medusa Shorts","published","","variant_01KVJF9J7WQ2T5BPB02N3QYKBZ","M","SHORTS-M","","","","iitem_01KVJF9J8Y1N7W3S95MFXCG61F","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RJDP0QXZ4B09QGJ0S","Medusa Shorts","published","","variant_01KVJF9J7WMRTV8Z6YF9PXPMTB","S","SHORTS-S","","","","iitem_01KVJF9J8YS2HE7NC7SF5HMJWS","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RJDP0QXZ4B09QGJ0S","Medusa Shorts","published","","variant_01KVJF9J7WFCB21E58J9FSE50Q","XL","SHORTS-XL","","","","iitem_01KVJF9J8Y5KX7DE944MQY3DQ5","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4R7XMZ1Z73SMTNT8KC","Medusa Sweatpants","published","","variant_01KVJF9J7VRVF2N11E0J6K2ETS","L","SWEATPANTS-L","","","","iitem_01KVJF9J8YSZH6157S90J82RM8","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4R7XMZ1Z73SMTNT8KC","Medusa Sweatpants","published","","variant_01KVJF9J7VCVRWX9QA6Y4Z7WNB","M","SWEATPANTS-M","","","","iitem_01KVJF9J8XE34ZCWKFQ4MCSBQ7","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4R7XMZ1Z73SMTNT8KC","Medusa Sweatpants","published","","variant_01KVJF9J7VRDSRVXN2TPR5E5JS","S","SWEATPANTS-S","","","","iitem_01KVJF9J8XBVWWS1ASEHVY1KYH","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4R7XMZ1Z73SMTNT8KC","Medusa Sweatpants","published","","variant_01KVJF9J7VBMFJWM99HTYEE3KX","XL","SWEATPANTS-XL","","","","iitem_01KVJF9J8YJT8EF5DRTQXVX739","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RKC61HMGV5BMRNXN3","Medusa Sweatshirt","published","","variant_01KVJF9J7TXJP70XZXEAQWVATX","L","SWEATSHIRT-L","","","","iitem_01KVJF9J8X5ZFEWDARD1M8DXJS","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RKC61HMGV5BMRNXN3","Medusa Sweatshirt","published","","variant_01KVJF9J7TH3XVZSS7EASJNP2S","M","SWEATSHIRT-M","","","","iitem_01KVJF9J8XYWSE4K3HFHJMTKXN","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RKC61HMGV5BMRNXN3","Medusa Sweatshirt","published","","variant_01KVJF9J7TBTE05S8FBCXNTTGD","S","SWEATSHIRT-S","","","","iitem_01KVJF9J8XXRB4TNMQA5APVK66","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RKC61HMGV5BMRNXN3","Medusa Sweatshirt","published","","variant_01KVJF9J7VH1FXQ845RECAFW8V","XL","SWEATSHIRT-XL","","","","iitem_01KVJF9J8XGYJ8R24VQ94369QQ","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RKQA6VSTE3T3YYAKX","Medusa T-Shirt","published","","variant_01KVJF9J7S83CCMC5AAKBGVQNC","L / Black","SHIRT-L-BLACK","","","","iitem_01KVJF9J8WAMGD3TGWWEGVGEDF","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RKQA6VSTE3T3YYAKX","Medusa T-Shirt","published","","variant_01KVJF9J7S7ZQDN60WM8ACGRJF","L / White","SHIRT-L-WHITE","","","","iitem_01KVJF9J8W53Y74CRDZ5VK6074","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RKQA6VSTE3T3YYAKX","Medusa T-Shirt","published","","variant_01KVJF9J7SFPA1G7GAD3ZYPRM0","M / Black","SHIRT-M-BLACK","","","","iitem_01KVJF9J8WCJ37VX58PCW4Z73N","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RKQA6VSTE3T3YYAKX","Medusa T-Shirt","published","","variant_01KVJF9J7SEH6FJ3VVX98B31M2","M / White","SHIRT-M-WHITE","","","","iitem_01KVJF9J8WW36AK47YXGJ9S18M","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RKQA6VSTE3T3YYAKX","Medusa T-Shirt","published","","variant_01KVJF9J7R77RDQYMEDJ0MF7TV","S / Black","SHIRT-S-BLACK","","","","iitem_01KVJF9J8V64KVJ6RJ6A6MYZJS","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RKQA6VSTE3T3YYAKX","Medusa T-Shirt","published","","variant_01KVJF9J7S2NNS60SCPNBNK3YH","S / White","SHIRT-S-WHITE","","","","iitem_01KVJF9J8VSZJDRR2P2RBT169Q","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RKQA6VSTE3T3YYAKX","Medusa T-Shirt","published","","variant_01KVJF9J7S66WB2FHYDA4WWVYK","XL / Black","SHIRT-XL-BLACK","","","","iitem_01KVJF9J8WF509BZPTPG4EJD51","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVJF9J4RKQA6VSTE3T3YYAKX","Medusa T-Shirt","published","","variant_01KVJF9J7TE542K4A96JQMWSDA","XL / White","SHIRT-XL-WHITE","","","","iitem_01KVJF9J8WZT2TMD8ND5PSMV66","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWKX6X6KE1YKP1ZJDZ4BJP5J","most imp","published","Digital Product","variant_01KWKX6XG4V9J70MYG89BQFCCK","Digital Download","DIGITAL-MR4VJYJX","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB8M7AVMZ6888SSSYQE5K","Muffins Pack","published","","variant_01KVSFB8MVTVENGRRVN6V61TQN","Standard","EATSIE-MUFFINS-PACK","","","","iitem_01KVSFB8N0W65W29W82PF9S3XQ","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWPGEG8JVGK9TJFMK9KAQNZP","new test","published","Digital Product","variant_01KWPGEGD1VE1E8RCPSSZHGCCR","Digital Download","DIGITAL-MR6BIOSP","","","","","false","NOT_POS_ELIGIBLE","","","",""
