product_id,product_title,product_handle,variant_id,variant_title,product_type,category,current_usd,current_cad,usd_status,cad_status,review_flags,suggested_usd,suggested_cad,approved_usd,approved_cad,merchant_notes,approved
prod_01KWMDFGBBCVK7DC7K1JZCMTJM,abcdefg,abcdefg-mr55plcv,variant_01KWMDFGDF085SGFC0E8A8CAF4,Digital Download,Digital Product,,,2900,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KWHV6ZPSQJ28CN6X8T3JE4BA,anaana,anaana-mr3qcouf,variant_01KWHV6ZRNCK5WTHEX10JPM6FZ,Digital Download,Digital Product,,,196,missing,present,MISSING_USD,,,,,,false
prod_01KWMAM00WTB7B5P6AJ799RYTC,Codex Digital Upload Verification,codex-digital-upload-verification-mr53xbma,variant_01KWMAM042JP42Y1AX94QRR9V7,Digital Download,Digital Product,,,2000,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KWQ0QFX7S61WFT27SVRE6RMK,First E Book,first-e-book-mr6lolgc,variant_01KWQ0QFYM01DK8EHXM9ADFW3B,Digital Download,Digital Product,,,8898,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KWPXVTWMG9C90F0WCQGWAPFT,first product,first-product-mr6jw808,variant_01KWPXVTYE8QNG3R2AMFXZ9BQ0,Digital Download,Digital Product,,,8900,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KWPYVVN6WMB545K1QD48G368,first product,first-product-mr6kipp4,variant_01KWPYVVQ4P3AQX6MV1D529JFC,Digital Download,Digital Product,,,5897,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KWJ0NRWG4CAMH6V1RF25FB3X,kdksks,kdksks-mr3trg5b,variant_01KWJ0NRYQB2W72NVMCCT49KGK,Digital Download,Digital Product,,,23395,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KWQ33JKCZM29X376W8YPMYX5,kmdcdlka,kmdcdlka-mr6n615p,variant_01KWQ33JNZJQKPXJQBG9YD9TA3,Digital Download,Digital Product,,,779400,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KWHT1K6NX18YED89NZPCEPD2,master class book,master-class-book-mr3pmfgr,variant_01KWHT1K91GCQTENK2204MYG41,Digital Download,Digital Product,,,999,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KWHSBEPFGTCBKNAQACQYZHJR,master class notes,master-class-notes-mr3p6vni,variant_01KWHSBERK2DJ0DNPQR3NYZ9BY,Digital Download,Digital Product,,,1700,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KWHZ0X6CHGKHYZH4Z1A6XHT8,master class of chatgpt,master-class-of-chatgpt-mr3sqbi6,variant_01KWHZ0X8N97ZVTCZBK0BGHJF8,Digital Download,Digital Product,,,900,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KWQ48V3QXBHNKJ3WW92VXHPB,open ebbbok,open-ebbbok-mr6nw7e2,variant_01KWQ48V5KTFPFVGKB8H7PD2S4,Digital Download,Digital Product,,,8694,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KWMFJENJQ0CADDKAPZ142MZA,organic book,organic-book-mr570m1x,variant_01KWMFJES8MX8JS58Q6MB35Q1G,Digital Download,Digital Product,,,4995,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KWQ57CSJQ1VBVF7BTTYSEDRY,physics book,physics-book-mr6ohnvo,variant_01KWQ57CVG1FJEREF9QRNT7T47,Digital Download,Digital Product,,,9000,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KWNTYHP4K6NRYXGCT9FY4SYG,prince product,prince-product-mr5y3ika,variant_01KWNTYHSJSMRRQVD3MRJ2T4AT,Digital Download,Digital Product,,,2899,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KWKVPT51K2TP2M0K8WZ19GSS,ssff,ssff-mr4um6j0,variant_01KWKVPT86GTB2DBN1DBT1HN95,Digital Download,Digital Product,,,9000,missing,present,MISSING_USD | HIGH_CAD_REVIEW,,,,,,false
prod_01KW1E8JX774PPRMQ88VN5GR9Q,E-Book Gardening 1782459943821,e-book-gardening-1782459943821-mqummmxt,variant_01KW1E8K0NT9NVRYR5EDKC77CM,Digital Download,,,2499,1999,present,present,HIGH_USD_REVIEW | HIGH_CAD_REVIEW,,,,,,false
prod_01KW1ECW8TGFYJMNMV1NDF1RT7,E-Book Gardening 1782460084480,e-book-gardening-1782460084480-mqumpnh2,variant_01KW1ECW9SKM0VPQBFPSXBGKCS,Digital Download,,,2499,1999,present,present,HIGH_USD_REVIEW | HIGH_CAD_REVIEW,,,,,,false
prod_01KW1EJC8ZKS0WR0KN883CGQA8,E-Book Gardening 1782460264701,e-book-gardening-1782460264701-mqumtijf,variant_01KW1EJC9VS51Y9ZJZADMD4YCR,Digital Download,,,2499,1999,present,present,HIGH_USD_REVIEW | HIGH_CAD_REVIEW,,,,,,false
prod_01KW1EP9GVF1VAK1ZQ44HHR4W8,E-Book Gardening 1782460392951,e-book-gardening-1782460392951-mqumw9hu,variant_01KW1EP9JSQPZCPCQ3PZK1A1F6,Digital Download,,,2499,1999,present,present,HIGH_USD_REVIEW | HIGH_CAD_REVIEW,,,,,,false
prod_01KW1EYP5CCFDDB2Z81R8HQ3VE,E-Book Gardening 1782460668053,e-book-gardening-1782460668053-mqun25rc,variant_01KW1EYP6Y9X6CXHN5FAEDYKZ5,Digital Download,,,2499,1999,present,present,HIGH_USD_REVIEW | HIGH_CAD_REVIEW,,,,,,false
prod_01KVMCKDHHQQPJZ72BHN5A5ETD,lyuyhybuyhbb,lyuyhybuyhbb-mqndvup6,variant_01KVMCKDKFZJWW29S963TVY186,Digital Download,,,901,699,present,present,HIGH_USD_REVIEW | HIGH_CAD_REVIEW,,,,,,false
prod_01KVMCN2V0YK5CRHYA4CH2CTR3,lyuyhybuyhbb,lyuyhybuyhbb-mqndx0t6,variant_01KVMCN2VRXEM77SFC9PQQKMQ3,Digital Download,,,901,699,present,present,HIGH_USD_REVIEW | HIGH_CAD_REVIEW,,,,,,false
prod_01KWPX4HF4YXN4SF1ANB8AJNHD,E-Book Gardening 1783180182970,e-book-gardening-1783180182970-mr6jfv15,variant_01KWPX4HJTNC65C6YKW8PB33HC,Digital Download,Digital Product,,2499,1999,present,present,HIGH_USD_REVIEW | HIGH_CAD_REVIEW,,,,,,false
prod_01KXJNH57CMPRBEVGSAMB30EMF,chocolate,chocolate-mrly26sk,variant_01KXJNH5ASR8XNZ9QSW29B8SJ7,Standard,,,16.99,22,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KWW11N9K4XYTK17K7DKTSBX0,Organic OIL,organic-oil-mr9drod0,variant_01KWW11NCJY9SGGGPJ5D7WB4FR,Standard,,,18.99,25,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVSFB71XDNGFJN01RH3C2G1M,Organic Apples,organic-apples,variant_01KVSFB75GZJ4N0B9SY6BXDTZC,Standard,,Fruits,3.99,4.99,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RJDP0QXZ4B09QGJ0S,Medusa Shorts,shorts,variant_01KVJF9J7WPJ0J6KXS78K8B4AX,L,,Merch,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RJDP0QXZ4B09QGJ0S,Medusa Shorts,shorts,variant_01KVJF9J7WQ2T5BPB02N3QYKBZ,M,,Merch,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RJDP0QXZ4B09QGJ0S,Medusa Shorts,shorts,variant_01KVJF9J7WMRTV8Z6YF9PXPMTB,S,,Merch,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RJDP0QXZ4B09QGJ0S,Medusa Shorts,shorts,variant_01KVJF9J7WFCB21E58J9FSE50Q,XL,,Merch,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4R7XMZ1Z73SMTNT8KC,Medusa Sweatpants,sweatpants,variant_01KVJF9J7VRVF2N11E0J6K2ETS,L,,Pants,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4R7XMZ1Z73SMTNT8KC,Medusa Sweatpants,sweatpants,variant_01KVJF9J7VCVRWX9QA6Y4Z7WNB,M,,Pants,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4R7XMZ1Z73SMTNT8KC,Medusa Sweatpants,sweatpants,variant_01KVJF9J7VRDSRVXN2TPR5E5JS,S,,Pants,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4R7XMZ1Z73SMTNT8KC,Medusa Sweatpants,sweatpants,variant_01KVJF9J7VBMFJWM99HTYEE3KX,XL,,Pants,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RKQA6VSTE3T3YYAKX,Medusa T-Shirt,t-shirt,variant_01KVJF9J7S83CCMC5AAKBGVQNC,L / Black,,Shirts,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RKQA6VSTE3T3YYAKX,Medusa T-Shirt,t-shirt,variant_01KVJF9J7S7ZQDN60WM8ACGRJF,L / White,,Shirts,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RKQA6VSTE3T3YYAKX,Medusa T-Shirt,t-shirt,variant_01KVJF9J7SFPA1G7GAD3ZYPRM0,M / Black,,Shirts,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RKQA6VSTE3T3YYAKX,Medusa T-Shirt,t-shirt,variant_01KVJF9J7SEH6FJ3VVX98B31M2,M / White,,Shirts,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RKQA6VSTE3T3YYAKX,Medusa T-Shirt,t-shirt,variant_01KVJF9J7R77RDQYMEDJ0MF7TV,S / Black,,Shirts,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RKQA6VSTE3T3YYAKX,Medusa T-Shirt,t-shirt,variant_01KVJF9J7S2NNS60SCPNBNK3YH,S / White,,Shirts,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RKQA6VSTE3T3YYAKX,Medusa T-Shirt,t-shirt,variant_01KVJF9J7S66WB2FHYDA4WWVYK,XL / Black,,Shirts,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RKQA6VSTE3T3YYAKX,Medusa T-Shirt,t-shirt,variant_01KVJF9J7TE542K4A96JQMWSDA,XL / White,,Shirts,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RKC61HMGV5BMRNXN3,Medusa Sweatshirt,sweatshirt,variant_01KVJF9J7TXJP70XZXEAQWVATX,L,,Sweatshirts,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RKC61HMGV5BMRNXN3,Medusa Sweatshirt,sweatshirt,variant_01KVJF9J7TH3XVZSS7EASJNP2S,M,,Sweatshirts,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RKC61HMGV5BMRNXN3,Medusa Sweatshirt,sweatshirt,variant_01KVJF9J7TBTE05S8FBCXNTTGD,S,,Sweatshirts,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
prod_01KVJF9J4RKC61HMGV5BMRNXN3,Medusa Sweatshirt,sweatshirt,variant_01KVJF9J7VH1FXQ845RECAFW8V,XL,,Sweatshirts,15,10,present,present,VALID_BOTH_REGIONS,,,,,,false
