duplicate_group,product_id,title,handle,created_at,updated_at,status,sales_channel_membership,variant_count,cad_prices,usd_prices,media_count,metadata_summary,order_line_usage_count,recommended_master_product,master_recommendation_reason,approved_master_product_id,approved_duplicate_action
e-book-gardening,prod_01KW1EJC8ZKS0WR0KN883CGQA8,E-Book Gardening 1782460264701,e-book-gardening-1782460264701-mqumtijf,Fri Jun 26 2026 13:21:04 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:21:04 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,1999,2499,0,"{""version"":""1.0.0"",""file_name"":""gardening-tips.pdf"",""file_size"":40,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782460264731"",""size"":40,""version"":""1.0.0"",""filename"":""gardening-tips.pdf"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1E8JX774PPRMQ88VN5GR9Q,Oldest current record; this is a reporting suggestion only,,
e-book-gardening,prod_01KW1EP9GVF1VAK1ZQ44HHR4W8,E-Book Gardening 1782460392951,e-book-gardening-1782460392951-mqumw9hu,Fri Jun 26 2026 13:23:12 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:23:12 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,1999,2499,0,"{""version"":""1.0.0"",""file_name"":""gardening-tips.pdf"",""file_size"":40,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782460392979"",""size"":40,""version"":""1.0.0"",""filename"":""gardening-tips.pdf"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1E8JX774PPRMQ88VN5GR9Q,Oldest current record; this is a reporting suggestion only,,
e-book-gardening,prod_01KW1EYP5CCFDDB2Z81R8HQ3VE,E-Book Gardening 1782460668053,e-book-gardening-1782460668053-mqun25rc,Fri Jun 26 2026 13:27:48 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:27:48 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,1999,2499,0,"{""version"":""1.0.0"",""file_name"":""gardening-tips.pdf"",""file_size"":40,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782460668072"",""size"":40,""version"":""1.0.0"",""filename"":""gardening-tips.pdf"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1E8JX774PPRMQ88VN5GR9Q,Oldest current record; this is a reporting suggestion only,,
e-book-gardening,prod_01KWPX4HF4YXN4SF1ANB8AJNHD,E-Book Gardening 1783180182970,e-book-gardening-1783180182970-mr6jfv15,Sat Jul 04 2026 21:19:43 GMT+0530 (India Standard Time),Sat Jul 04 2026 21:19:43 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,1999,2499,0,"{""version"":""1.0.0"",""file_name"":""gardening-tips.pdf"",""file_size"":30,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""storage_key"":""uploads/digital/asset_4506012b36ad66dcfaf9fa96b3031675-gardening-tips.pdf"",""download_limit"":0,""download_assets"":[{""id"":""asset_4506012b36ad66dcfaf9fa96b3031675"",""key"":""asset_4506012b36ad66dcfaf9fa96b3031675"",""size"":30,""version"":""1.0.0"",""filename"":""gardening-tips.pdf"",""file_name"":""gardening-tips.pdf"",""file_size"":30,""mime_type"":""applic",,prod_01KW1E8JX774PPRMQ88VN5GR9Q,Oldest current record; this is a reporting suggestion only,,
empty-file,prod_01KW1E8K65ZETX0GGC3HFR1PFA,Empty File 1782459944121,empty-file-1782459944121-mqummn5u,Fri Jun 26 2026 13:15:44 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:15:44 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,,500,0,"{""version"":""1.0.0"",""file_name"":""empty.dat"",""file_size"":0,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782459944130"",""size"":0,""version"":""1.0.0"",""filename"":""empty.dat"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1E8K65ZETX0GGC3HFR1PFA,Oldest current record; this is a reporting suggestion only,,
empty-file,prod_01KW1ECWD7YBQVQJKN1Q2CZY9T,Empty File 1782460084625,empty-file-1782460084625-mqumpnkw,Fri Jun 26 2026 13:18:04 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:18:04 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,,500,0,"{""version"":""1.0.0"",""file_name"":""empty.dat"",""file_size"":0,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782460084640"",""size"":0,""version"":""1.0.0"",""filename"":""empty.dat"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1E8K65ZETX0GGC3HFR1PFA,Oldest current record; this is a reporting suggestion only,,
empty-file,prod_01KW1EJCNM7TK49E7TKA60VTHC,Empty File 1782460265127,empty-file-1782460265127-mqumtiuo,Fri Jun 26 2026 13:21:05 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:21:05 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,,500,0,"{""version"":""1.0.0"",""file_name"":""empty.dat"",""file_size"":0,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782460265136"",""size"":0,""version"":""1.0.0"",""filename"":""empty.dat"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1E8K65ZETX0GGC3HFR1PFA,Oldest current record; this is a reporting suggestion only,,
empty-file,prod_01KW1EP9ZQCAGS8TN035AZGK7Q,Empty File 1782460393451,empty-file-1782460393451-mqumw9v8,Fri Jun 26 2026 13:23:13 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:23:13 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,,500,0,"{""version"":""1.0.0"",""file_name"":""empty.dat"",""file_size"":0,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782460393460"",""size"":0,""version"":""1.0.0"",""filename"":""empty.dat"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1E8K65ZETX0GGC3HFR1PFA,Oldest current record; this is a reporting suggestion only,,
empty-file,prod_01KW1EYPH6720Z27HHRNM1GX73,Empty File 1782460668442,empty-file-1782460668442-mqun261v,Fri Jun 26 2026 13:27:48 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:27:48 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,,500,0,"{""version"":""1.0.0"",""file_name"":""empty.dat"",""file_size"":0,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782460668451"",""size"":0,""version"":""1.0.0"",""filename"":""empty.dat"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1E8K65ZETX0GGC3HFR1PFA,Oldest current record; this is a reporting suggestion only,,
cad-only,prod_01KW1EJCF2XZQGH3DDYWG8EBQW,CAD-Only 1782460264907,cad-only-1782460264907-mqumtiot,Fri Jun 26 2026 13:21:04 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:21:04 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,950,,0,"{""version"":""1.0.0"",""file_name"":""cad-only.pdf"",""file_size"":8,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782460264925"",""size"":8,""version"":""1.0.0"",""filename"":""cad-only.pdf"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1EJCF2XZQGH3DDYWG8EBQW,Oldest current record; this is a reporting suggestion only,,
cad-only,prod_01KW1EP9QW8QGBDZZ9Y30DBVSZ,CAD-Only 1782460393194,cad-only-1782460393194-mqumw9o9,Fri Jun 26 2026 13:23:13 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:23:13 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,950,,0,"{""version"":""1.0.0"",""file_name"":""cad-only.pdf"",""file_size"":8,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782460393209"",""size"":8,""version"":""1.0.0"",""filename"":""cad-only.pdf"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1EJCF2XZQGH3DDYWG8EBQW,Oldest current record; this is a reporting suggestion only,,
cad-only,prod_01KW1EYPBAY3JCH8A9K6YHBQJP,CAD-Only 1782460668244,cad-only-1782460668244-mqun25wm,Fri Jun 26 2026 13:27:48 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:27:48 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,950,,0,"{""version"":""1.0.0"",""file_name"":""cad-only.pdf"",""file_size"":8,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782460668262"",""size"":8,""version"":""1.0.0"",""filename"":""cad-only.pdf"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1EJCF2XZQGH3DDYWG8EBQW,Oldest current record; this is a reporting suggestion only,,
usd-only,prod_01KW1EJCJN58DM4ZHMHQE267VN,USD-Only 1782460265026,usd-only-1782460265026-mqumtis1,Fri Jun 26 2026 13:21:05 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:21:05 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,,1450,0,"{""version"":""1.0.0"",""file_name"":""usd-only.pdf"",""file_size"":8,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782460265041"",""size"":8,""version"":""1.0.0"",""filename"":""usd-only.pdf"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1EJCJN58DM4ZHMHQE267VN,Oldest current record; this is a reporting suggestion only,,
usd-only,prod_01KW1EP9W7SQZB996ZV3HJC9NX,USD-Only 1782460393333,usd-only-1782460393333-mqumw9s3,Fri Jun 26 2026 13:23:13 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:23:13 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,,1450,0,"{""version"":""1.0.0"",""file_name"":""usd-only.pdf"",""file_size"":8,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782460393347"",""size"":8,""version"":""1.0.0"",""filename"":""usd-only.pdf"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1EJCJN58DM4ZHMHQE267VN,Oldest current record; this is a reporting suggestion only,,
usd-only,prod_01KW1EYPEBZ45Q74GCD6HTD0RZ,USD-Only 1782460668350,usd-only-1782460668350-mqun25zc,Fri Jun 26 2026 13:27:48 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:27:48 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,,1450,0,"{""version"":""1.0.0"",""file_name"":""usd-only.pdf"",""file_size"":8,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782460668360"",""size"":8,""version"":""1.0.0"",""filename"":""usd-only.pdf"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1EJCJN58DM4ZHMHQE267VN,Oldest current record; this is a reporting suggestion only,,
most-imp,prod_01KWKX6X6KE1YKP1ZJDZ4BJP5J,most imp,most-imp-mr4vjyjx,Fri Jul 03 2026 17:23:17 GMT+0530 (India Standard Time),Fri Jul 03 2026 17:23:17 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,,,0,"{""version"":""1.0.0"",""file_name"":""chatgpt-master-class.pdf"",""file_size"":285339,""file_type"":""pdf"",""mime_type"":""application/pdf"",""is_digital"":true,""storage_key"":""digital/asset_c0cb34c09691ec624c94ea5eec07e46b.pdf"",""download_limit"":5,""download_assets"":[{""id"":""asset_c0cb34c09691ec624c94ea5eec07e46b"",""key"":""asset_c0cb34c09691ec624c94ea5eec07e46b"",""size"":285339,""version"":""1.0.0"",""filename"":""chatgpt-master-class.pdf"",""file_name"":""chatgpt-master-class.pdf"",""file_size"":285339,""mime_type"":""application/pdf"",",,prod_01KWKX6X6KE1YKP1ZJDZ4BJP5J,Oldest current record; this is a reporting suggestion only,,
most-imp,prod_01KWM6SE3GN26GA2RTTC1KW6SM,most imp,most-imp-mr51j8tf,Fri Jul 03 2026 20:10:41 GMT+0530 (India Standard Time),Fri Jul 03 2026 20:10:41 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,0,,,0,"{""version"":""1.0.0"",""file_name"":""chatgpt-master-class.pdf"",""file_size"":285339,""file_type"":""pdf"",""mime_type"":""application/pdf"",""is_digital"":true,""storage_key"":""digital/asset_0b684c131ec63b291f42f184ad42be6d.pdf"",""download_limit"":5,""download_assets"":[{""id"":""asset_0b684c131ec63b291f42f184ad42be6d"",""key"":""asset_0b684c131ec63b291f42f184ad42be6d"",""size"":285339,""version"":""1.0.0"",""filename"":""chatgpt-master-class.pdf"",""file_name"":""chatgpt-master-class.pdf"",""file_size"":285339,""mime_type"":""application/pdf"",",,prod_01KWKX6X6KE1YKP1ZJDZ4BJP5J,Oldest current record; this is a reporting suggestion only,,
codex-digital-upload-verification,prod_01KWM9YN6TNEY78DPM0JAQ5ZY7,Codex Digital Upload Verification,codex-digital-upload-verification-mr53ic40,Fri Jul 03 2026 21:05:58 GMT+0530 (India Standard Time),Fri Jul 03 2026 21:05:58 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,,,0,"{""version"":""1.0.0"",""file_name"":""tmp-digital-upload-test.pdf"",""file_size"":44,""file_type"":""pdf"",""mime_type"":""application/pdf"",""is_digital"":true,""storage_key"":""uploads/digital/asset_a6b5dab88fa9f9909f77ac5f063fbb61-tmp-digital-upload-test.pdf"",""download_limit"":5,""download_assets"":[{""id"":""asset_a6b5dab88fa9f9909f77ac5f063fbb61"",""key"":""asset_a6b5dab88fa9f9909f77ac5f063fbb61"",""size"":44,""version"":""1.0.0"",""filename"":""tmp-digital-upload-test.pdf"",""file_name"":""tmp-digital-upload-test.pdf"",""file_size"":44,""",,prod_01KWM9YN6TNEY78DPM0JAQ5ZY7,Oldest current record; this is a reporting suggestion only,,
codex-digital-upload-verification,prod_01KWMAM00WTB7B5P6AJ799RYTC,Codex Digital Upload Verification,codex-digital-upload-verification-mr53xbma,Fri Jul 03 2026 21:17:37 GMT+0530 (India Standard Time),Fri Jul 03 2026 21:17:37 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,2000,,0,"{""version"":""1.0.0"",""file_name"":""tmp-digital-upload-test.pdf"",""file_size"":44,""file_type"":""pdf"",""mime_type"":""application/pdf"",""is_digital"":true,""storage_key"":""uploads/digital/asset_080ab04c3efe726172a8bac650040159-tmp-digital-upload-test.pdf"",""download_limit"":5,""download_assets"":[{""id"":""asset_080ab04c3efe726172a8bac650040159"",""key"":""asset_080ab04c3efe726172a8bac650040159"",""size"":44,""version"":""1.0.0"",""filename"":""tmp-digital-upload-test.pdf"",""file_name"":""tmp-digital-upload-test.pdf"",""file_size"":44,""",,prod_01KWM9YN6TNEY78DPM0JAQ5ZY7,Oldest current record; this is a reporting suggestion only,,
first-product,prod_01KWPXVTWMG9C90F0WCQGWAPFT,first product,first-product-mr6jw808,Sat Jul 04 2026 21:32:26 GMT+0530 (India Standard Time),Sat Jul 04 2026 21:32:26 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,8900,,0,"{""handle"":""first-product"",""source"":""medusa-admin-digital-product-wizard"",""version"":""1.0.0"",""file_name"":""AWD-QUESTION-BANK-SOLUTION.pdf"",""file_size"":4952932,""file_type"":""pdf"",""mime_type"":""application/pdf"",""is_digital"":true,""storage_key"":""uploads/digital/asset_16c2f232ba290c165d47878cd8f76a93-AWD-QUESTION-BANK-SOLUTION.pdf"",""download_limit"":5,""digital_product"":true,""download_assets"":[{""id"":""asset_16c2f232ba290c165d47878cd8f76a93"",""key"":""asset_16c2f232ba290c165d47878cd8f76a93"",""size"":4952932,""versi",,prod_01KWPXVTWMG9C90F0WCQGWAPFT,Oldest current record; this is a reporting suggestion only,,
first-product,prod_01KWPYVVN6WMB545K1QD48G368,first product,first-product-mr6kipp4,Sat Jul 04 2026 21:49:55 GMT+0530 (India Standard Time),Sat Jul 04 2026 21:49:55 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,5897,,0,"{""handle"":""first-product"",""source"":""medusa-admin-digital-product-wizard"",""version"":""1.0.0"",""file_name"":""AWD-QUESTION-BANK-SOLUTION.pdf"",""file_size"":4952932,""file_type"":""pdf"",""mime_type"":""application/pdf"",""is_digital"":true,""storage_key"":""uploads/digital/asset_bad665e5db4878fdc3c68b4eed195fb2-AWD-QUESTION-BANK-SOLUTION.pdf"",""download_limit"":5,""digital_product"":true,""download_assets"":[{""id"":""asset_bad665e5db4878fdc3c68b4eed195fb2"",""key"":""asset_bad665e5db4878fdc3c68b4eed195fb2"",""size"":4952932,""versi",,prod_01KWPXVTWMG9C90F0WCQGWAPFT,Oldest current record; this is a reporting suggestion only,,
e2e-digital-book,prod_01KWQ05SK0PDA0T4GNHWA0A3MQ,E2E Digital Book 1783183369763,e2e-digital-book-1783183369763-mr6lc5zt,Sat Jul 04 2026 22:12:49 GMT+0530 (India Standard Time),Sat Jul 04 2026 22:12:49 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,,,0,"{""version"":""1.0.0"",""file_name"":""_test-digital.pdf"",""file_size"":29,""file_type"":""pdf"",""mime_type"":""application/pdf"",""is_digital"":true,""storage_key"":""uploads/digital/asset_a15ae19faa43db9f70ce3aabfd4d5c10-_test-digital.pdf"",""download_limit"":5,""download_assets"":[{""id"":""asset_a15ae19faa43db9f70ce3aabfd4d5c10"",""key"":""asset_a15ae19faa43db9f70ce3aabfd4d5c10"",""size"":29,""version"":""1.0.0"",""filename"":""_test-digital.pdf"",""file_name"":""_test-digital.pdf"",""file_size"":29,""mime_type"":""application/pdf"",""storage_ke",,prod_01KWQ05SK0PDA0T4GNHWA0A3MQ,Oldest current record; this is a reporting suggestion only,,
e2e-digital-book,prod_01KWQ06JCFSANEP04YXDND06BW,E2E Digital Book 1783183395158,e2e-digital-book-1783183395158-mr6lcpl2,Sat Jul 04 2026 22:13:15 GMT+0530 (India Standard Time),Sat Jul 04 2026 22:13:15 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,,,0,"{""version"":""1.0.0"",""file_name"":""_test-digital.pdf"",""file_size"":29,""file_type"":""pdf"",""mime_type"":""application/pdf"",""is_digital"":true,""storage_key"":""uploads/digital/asset_bdd81145c9ce2a90b48152e28937b7d1-_test-digital.pdf"",""download_limit"":5,""download_assets"":[{""id"":""asset_bdd81145c9ce2a90b48152e28937b7d1"",""key"":""asset_bdd81145c9ce2a90b48152e28937b7d1"",""size"":29,""version"":""1.0.0"",""filename"":""_test-digital.pdf"",""file_name"":""_test-digital.pdf"",""file_size"":29,""mime_type"":""application/pdf"",""storage_ke",,prod_01KWQ05SK0PDA0T4GNHWA0A3MQ,Oldest current record; this is a reporting suggestion only,,
e2e-digital-book,prod_01KWQ08JHXBV4P7PMB7SXVDXAZ,E2E Digital Book 1783183460882,e2e-digital-book-1783183460882-mr6le4af,Sat Jul 04 2026 22:14:20 GMT+0530 (India Standard Time),Sat Jul 04 2026 22:14:20 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,999,,0,"{""version"":""1.0.0"",""file_name"":""_test-digital.pdf"",""file_size"":29,""file_type"":""pdf"",""mime_type"":""application/pdf"",""is_digital"":true,""storage_key"":""uploads/digital/asset_698f3ef3d10bf0fbeebe0121fc346d75-_test-digital.pdf"",""download_limit"":5,""download_assets"":[{""id"":""asset_698f3ef3d10bf0fbeebe0121fc346d75"",""key"":""asset_698f3ef3d10bf0fbeebe0121fc346d75"",""size"":29,""version"":""1.0.0"",""filename"":""_test-digital.pdf"",""file_name"":""_test-digital.pdf"",""file_size"":29,""mime_type"":""application/pdf"",""storage_ke",,prod_01KWQ05SK0PDA0T4GNHWA0A3MQ,Oldest current record; this is a reporting suggestion only,,
