product_id,product_title,variant_id,variant_title,product_status,product_category,currency_code,existing_prices,suggested_amount,action
prod_01KVSFB97WZ9DA9P6VRTKVQAFF,Tuna Steak,variant_01KVSFB992JJ928VFRNB422JQ9,Standard,published,active_standard,usd,1899cad,,SKIP
prod_01KVSFB9B2AF16KR0X5JE0C3WV,Crab Meat,variant_01KVSFB9C5W5C0347WGB5RNS4Y,Standard,published,active_standard,usd,2199cad,,SKIP
prod_01KVSFB9E75M66XRVS6N0XS6ZW,White Fish Fillet,variant_01KVSFB9F81ZZM6H5SSK61WGBN,Standard,published,active_standard,usd,1499cad,,SKIP
prod_01KVSPT0255E9PQS0FJZ94MPSR,Papaya,variant_01KVSPT08VCN1E9D4CYYGQBG3Q,Standard,published,active_standard,usd,699cad,,SKIP
prod_01KVSPZAPBTBRDSZHTRVCYXW6Z,Papaya Pack 2015cd,variant_01KVSPZAVZKYRRNKJJXMB3VJH0,Small,published,active_standard,usd,499cad,,SKIP
prod_01KVSPZAPBTBRDSZHTRVCYXW6Z,Papaya Pack 2015cd,variant_01KVSPZAW0S335JX2KXGD7NEQJ,Large,published,active_standard,usd,899cad,,SKIP
prod_01KVSQ48867BV7ZNMYB7CFZX75,Papaya Final a90dd3,variant_01KVSQ48EZAJH0KY9XVS2ZZ7BA,Standard,published,active_standard,usd,799cad,,SKIP
prod_01KVSQ9RMC9VY464EF61WVPZE2,Papaya Link 1a8db7,variant_01KVSQ9RXKQWZBH7AK4VK7PTSV,Standard,published,active_standard,usd,899cad,,SKIP
prod_01KVSQZ00MWS1S3T7FYJJC0VXK,Papaya Link Array b9f928,variant_01KVSQZ04ZZ120JMVMPCQ0PYQJ,Standard,published,active_standard,usd,999cad,,SKIP
prod_01KVSR6H141CJWVP91R4T3TD8E,Papaya Vendor Smoke dc9962,variant_01KVSR6H59F57ED9M0GRE24BNJ,Standard,published,active_standard,usd,999cad,,SKIP
prod_01KVSZH979HQY5NNJS0BCC8Y7Q,papaya,variant_01KVSZH9M19J7GWF1M8TV5D5ZZ,Standard,published,active_standard,usd,600cad,,SKIP
prod_01KVW0YM6H0HYPRV73MKDJZWDX,Pineapple,variant_01KVW0YMR5Q4X2P1H9QVJ0W6XK,Standard,published,active_standard,usd,900cad,,SKIP
prod_01KVW221QD90ZE1Y069Z8VB2J4,Pineapple,variant_01KVW221YN1BGRD3G66J4KSJTQ,Standard,published,active_standard,usd,700cad,,SKIP
prod_01KVW5WN2X0EWHYJ4SGGCA7XNP,Thekua,variant_01KVW5WNE5G5M7Z46PKGYH3Y5X,Standard,published,active_standard,usd,2000cad,,SKIP
prod_01KVWF8FG3R20YF227VBX4RJKS,Thekua,variant_01KVWF8FWA0H73XJWWDZX63PDD,Standard,published,active_standard,usd,2000cad,,SKIP
prod_01KW1E8K65ZETX0GGC3HFR1PFA,Empty File 1782459944121,variant_01KW1E8K6N09Y4GB3RC81NES8M,Digital Download,published,digital,cad,500usd,,SKIP
prod_01KW1ECWD7YBQVQJKN1Q2CZY9T,Empty File 1782460084625,variant_01KW1ECWDX1HNB8T3K58SG9C5W,Digital Download,published,digital,cad,500usd,,SKIP
prod_01KW1EJCF2XZQGH3DDYWG8EBQW,CAD-Only 1782460264907,variant_01KW1EJCG4JQN437Y6ZM7N3TCH,Digital Download,published,digital,usd,950cad,,SKIP
prod_01KW1EJCJN58DM4ZHMHQE267VN,USD-Only 1782460265026,variant_01KW1EJCKFF1S0EP2ZCTFFBQNJ,Digital Download,published,digital,cad,1450usd,,SKIP
prod_01KW1EJCNM7TK49E7TKA60VTHC,Empty File 1782460265127,variant_01KW1EJCP1SXBJ4K71R3050VRH,Digital Download,published,digital,cad,500usd,,SKIP
prod_01KW1EP9QW8QGBDZZ9Y30DBVSZ,CAD-Only 1782460393194,variant_01KW1EP9RWPPB3SB8E8GNZMN30,Digital Download,published,digital,usd,950cad,,SKIP
prod_01KW1EP9W7SQZB996ZV3HJC9NX,USD-Only 1782460393333,variant_01KW1EP9X76KCJ2MTY9PNAK081,Digital Download,published,digital,cad,1450usd,,SKIP
prod_01KW1EP9ZQCAGS8TN035AZGK7Q,Empty File 1782460393451,variant_01KW1EPA048N2MR3Z95G0JE5C0,Digital Download,published,digital,cad,500usd,,SKIP
prod_01KW1EYPBAY3JCH8A9K6YHBQJP,CAD-Only 1782460668244,variant_01KW1EYPC56TGZDNJVS8N2DZ8A,Digital Download,published,digital,usd,950cad,,SKIP
prod_01KW1EYPEBZ45Q74GCD6HTD0RZ,USD-Only 1782460668350,variant_01KW1EYPEV6SS324ESV386FAMQ,Digital Download,published,digital,cad,1450usd,,SKIP
prod_01KW1EYPH6720Z27HHRNM1GX73,Empty File 1782460668442,variant_01KW1EYPHJ3V67JXKEG4G2N6V6,Digital Download,published,digital,cad,500usd,,SKIP
prod_01KWHRE9CY4M3RS6QETG5HFW6K,e book,variant_01KWHRE9KW4BY4VGZVJ9RYDR04,Digital Download,published,digital,cad,none,,SKIP
prod_01KWHRE9CY4M3RS6QETG5HFW6K,e book,variant_01KWHRE9KW4BY4VGZVJ9RYDR04,Digital Download,published,digital,usd,none,,SKIP
prod_01KWHSBEPFGTCBKNAQACQYZHJR,master class notes,variant_01KWHSBERK2DJ0DNPQR3NYZ9BY,Digital Download,published,digital,usd,1700cad,,SKIP
prod_01KWHT1K6NX18YED89NZPCEPD2,master class book,variant_01KWHT1K91GCQTENK2204MYG41,Digital Download,published,digital,usd,999cad,,SKIP
prod_01KWHV6ZPSQJ28CN6X8T3JE4BA,anaana,variant_01KWHV6ZRNCK5WTHEX10JPM6FZ,Digital Download,published,digital,usd,196cad,,SKIP
prod_01KWHZ0X6CHGKHYZH4Z1A6XHT8,master class of chatgpt,variant_01KWHZ0X8N97ZVTCZBK0BGHJF8,Digital Download,published,digital,usd,900cad,,SKIP
prod_01KWHZN4Q2FW2Z78K1SG8SGD4E,abcd,variant_01KWHZN4S3PZZGADF85XSCYAG4,Digital Download,published,digital,usd,9897cad,,SKIP
prod_01KWJ0NRWG4CAMH6V1RF25FB3X,kdksks,variant_01KWJ0NRYQB2W72NVMCCT49KGK,Digital Download,published,digital,usd,23395cad,,SKIP
prod_01KWKVPT51K2TP2M0K8WZ19GSS,ssff,variant_01KWKVPT86GTB2DBN1DBT1HN95,Digital Download,published,digital,usd,9000cad,,SKIP
prod_01KWKX6X6KE1YKP1ZJDZ4BJP5J,most imp,variant_01KWKX6XG4V9J70MYG89BQFCCK,Digital Download,published,digital,cad,none,,SKIP
prod_01KWKX6X6KE1YKP1ZJDZ4BJP5J,most imp,variant_01KWKX6XG4V9J70MYG89BQFCCK,Digital Download,published,digital,usd,none,,SKIP
prod_01KWM7P1BTZPR2T6V6KN7DNAZ9,hacker dock,variant_01KWM7P1ET83TD8E61VZAPA2C2,Digital Download,published,digital,cad,none,,SKIP
prod_01KWM7P1BTZPR2T6V6KN7DNAZ9,hacker dock,variant_01KWM7P1ET83TD8E61VZAPA2C2,Digital Download,published,digital,usd,none,,SKIP
prod_01KWM8ZK4J5N85XC0FA72RSKV3,medusa doc,variant_01KWM8ZK7M0N53K4XHBKP2BG5X,Digital Download,published,digital,cad,none,,SKIP
prod_01KWM8ZK4J5N85XC0FA72RSKV3,medusa doc,variant_01KWM8ZK7M0N53K4XHBKP2BG5X,Digital Download,published,digital,usd,none,,SKIP
prod_01KWM9YN6TNEY78DPM0JAQ5ZY7,Codex Digital Upload Verification,variant_01KWM9YN9Z155T8HNJQ96YBQHZ,Digital Download,published,digital,cad,none,,SKIP
prod_01KWM9YN6TNEY78DPM0JAQ5ZY7,Codex Digital Upload Verification,variant_01KWM9YN9Z155T8HNJQ96YBQHZ,Digital Download,published,digital,usd,none,,SKIP
prod_01KWMAM00WTB7B5P6AJ799RYTC,Codex Digital Upload Verification,variant_01KWMAM042JP42Y1AX94QRR9V7,Digital Download,published,digital,usd,2000cad,,SKIP
prod_01KWMDFGBBCVK7DC7K1JZCMTJM,abcdefg,variant_01KWMDFGDF085SGFC0E8A8CAF4,Digital Download,published,digital,usd,2900cad,,SKIP
prod_01KWMFJENJQ0CADDKAPZ142MZA,organic book,variant_01KWMFJES8MX8JS58Q6MB35Q1G,Digital Download,published,digital,usd,4995cad,,SKIP
prod_01KWNTYHP4K6NRYXGCT9FY4SYG,prince product,variant_01KWNTYHSJSMRRQVD3MRJ2T4AT,Digital Download,published,digital,usd,2899cad,,SKIP
prod_01KWPGEG8JVGK9TJFMK9KAQNZP,new test,variant_01KWPGEGD1VE1E8RCPSSZHGCCR,Digital Download,published,digital,usd,500cad,,SKIP
prod_01KWPTVQB38AHNAFD3P8BACJTJ,Verification E-Book,variant_01KWPTVQB33CSNZQ2S45127T3W,Digital Download,published,digital,cad,none,,SKIP
prod_01KWPTVQB38AHNAFD3P8BACJTJ,Verification E-Book,variant_01KWPTVQB33CSNZQ2S45127T3W,Digital Download,published,digital,usd,none,,SKIP
prod_01KWPXVTWMG9C90F0WCQGWAPFT,first product,variant_01KWPXVTYE8QNG3R2AMFXZ9BQ0,Digital Download,published,digital,usd,8900cad,,SKIP
prod_01KWPYVVN6WMB545K1QD48G368,first product,variant_01KWPYVVQ4P3AQX6MV1D529JFC,Digital Download,published,digital,usd,5897cad,,SKIP
prod_01KWPZ751172E2TJGVJD9KNTKA,1 st product,variant_01KWPZ751Z4X6NS0CQGPY3YS9N,Digital Download,published,digital,usd,6000cad,,SKIP
prod_01KWQ05SK0PDA0T4GNHWA0A3MQ,E2E Digital Book 1783183369763,variant_01KWQ05SNWQJ2V5Y0RGBTDWR2A,Digital Download,published,digital,cad,none,,SKIP
prod_01KWQ05SK0PDA0T4GNHWA0A3MQ,E2E Digital Book 1783183369763,variant_01KWQ05SNWQJ2V5Y0RGBTDWR2A,Digital Download,published,digital,usd,none,,SKIP
prod_01KWQ06JCFSANEP04YXDND06BW,E2E Digital Book 1783183395158,variant_01KWQ06JEV2WDJ465Q4G6H70HX,Digital Download,published,digital,cad,none,,SKIP
prod_01KWQ06JCFSANEP04YXDND06BW,E2E Digital Book 1783183395158,variant_01KWQ06JEV2WDJ465Q4G6H70HX,Digital Download,published,digital,usd,none,,SKIP
prod_01KWQ08JHXBV4P7PMB7SXVDXAZ,E2E Digital Book 1783183460882,variant_01KWQ08JKGSYB0K690PSTC3TN3,Digital Download,published,digital,usd,999cad,,SKIP
prod_01KWQ0DK5AXAQ4T3FBW1HF6XSM,E2E Digital Book 1783183625341,variant_01KWQ0DK6K6H6SFK0140PP1WEJ,Digital Download,published,digital,usd,999cad,,SKIP
prod_01KWQ0EW4FSVV6DB8ZXQ0MP0X4,E2E Digital Book 1783183667294,variant_01KWQ0EW6QHKYG9VJGED0AWW6E,Digital Download,published,digital,usd,999cad,,SKIP
prod_01KWQ0FGWAANHBB3HHJT0K5MYK,E2E Digital Book 1783183688543,variant_01KWQ0FGY17EH6H97SZMQST22V,Digital Download,published,digital,usd,999cad,,SKIP
prod_01KWQ0QFX7S61WFT27SVRE6RMK,First E Book,variant_01KWQ0QFYM01DK8EHXM9ADFW3B,Digital Download,published,digital,usd,8898cad,,SKIP
prod_01KWQ19X3DAJNED5GYSJFW1Y2M,E2E Digital Book 1783184553026,variant_01KWQ19X5RGXHQ5HA22TEG3H9Y,Digital Download,published,digital,usd,999cad,,SKIP
prod_01KWQ1BJ50SDZETZMF4PD7QPV1,E2E Digital Book 1783184607341,variant_01KWQ1BJ77T14ZJRW8ETNH7VC4,Digital Download,published,digital,usd,999cad,,SKIP
prod_01KWQ1CWBRAVZFZ759ZEBJ6W8K,E2E Digital Book 1783184650573,variant_01KWQ1CWDAMKYPYS8SJ5X8K4PT,Digital Download,published,digital,usd,999cad,,SKIP
prod_01KWQ1EK1W6P2NWMMY6JHBD1ZV,E2E Digital Book 1783184706575,variant_01KWQ1EK3EB6FCTZK7SM8GXJPE,Digital Download,published,digital,usd,999cad,,SKIP
prod_01KWQ1KPJ353283BZV8W23TE03,2nd book,variant_01KWQ1KPM3PSW0M8R6VD1SR9G1,Digital Download,published,digital,usd,9000cad,,SKIP
prod_01KWQ1NW3DSVAZ40HWKGZ3G8ZG,3rd book,variant_01KWQ1NW4DCTQZMDVYQJSSJ1PN,Digital Download,published,digital,usd,1998cad,,SKIP
prod_01KWQ204DYY6BNP9GCKJBYH4WN,E2E Digital Book 1783185281422,variant_01KWQ204H8V6V6C1QEVSEA0YFD,Digital Download,published,digital,usd,99900cad,,SKIP
prod_01KWQ21E19635QBYB02ZAF884S,E2E Digital Book 1783185324049,variant_01KWQ21E1ZPCTH0HKKP6VFG5FZ,Digital Download,published,digital,usd,999cad,,SKIP
prod_01KWQ33JKCZM29X376W8YPMYX5,kmdcdlka,variant_01KWQ33JNZJQKPXJQBG9YD9TA3,Digital Download,published,digital,usd,779400cad,,SKIP
prod_01KWQ3W56M656QFHSAJVVAFQ7S,E2E Digital Book 1783187248294,variant_01KWQ3W58XT816QN4YCJ6PF06K,Digital Download,published,digital,usd,7800cad,,SKIP
prod_01KWQ48V3QXBHNKJ3WW92VXHPB,open ebbbok,variant_01KWQ48V5KTFPFVGKB8H7PD2S4,Digital Download,published,digital,usd,8694cad,,SKIP
prod_01KWQ57CSJQ1VBVF7BTTYSEDRY,physics book,variant_01KWQ57CVG1FJEREF9QRNT7T47,Digital Download,published,digital,usd,9000cad,,SKIP
prod_01KWRFJ6ZZ0GXXNJ2P4JCGT9T1,Price Final Test 1783233059658,variant_01KWRFJ73R0GTW4SYH780Y9VMY,Digital Download,published,digital,usd,7800cad,,SKIP
prod_01KWRFJYDVH2E01NAXMZ1BC03X,Price Final Test 1783233083614,variant_01KWRFJYF9BDR9FPY1HPQ8MPHN,Digital Download,published,digital,usd,7800cad,,SKIP
prod_01KWRFKBNRBHMEG53DJ52DC9J5,Price Final Test 1783233097213,variant_01KWRFKBPZ6ZP38X9D9RB070V3,Digital Download,published,digital,usd,7800cad,,SKIP
prod_01KWRFMJF9850QWX9Y40BD0K9S,Price Final Test 1783233136935,variant_01KWRFMJG30M9AZ7S6PVYNP91W,Digital Download,published,digital,usd,7800cad,,SKIP
prod_01KWW0QKYEEXVQEKWXXME70BSX,ORGANIC OIL 20260706205845,variant_01KWW0QM4SQPZ5RZKAFAFGETBZ,Standard,published,active_standard,usd,1000cad,,SKIP
prod_01KWW0R7M8TYHQJMQTWRQ6FXPZ,DECIMAL OIL 20260706205906,variant_01KWW0R7NT0T4WR9WM88ATBPTR,Standard,published,active_standard,usd,599cad,,SKIP
prod_01KWW11N9K4XYTK17K7DKTSBX0,Organic OIL,variant_01KWW11NCJY9SGGGPJ5D7WB4FR,Standard,published,active_standard,usd,2500cad,,SKIP
prod_01KXJNH57CMPRBEVGSAMB30EMF,chocolate,variant_01KXJNH5ASR8XNZ9QSW29B8SJ7,Standard,published,active_standard,usd,2200cad,,SKIP
